title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Ehrlichkeit,2015,N/A,49 min,Drama,Jan Bauer,"Bernadette Feiler, Cecilia Malmström, Liane Purol","Roy Peter Link, Katharina Nesytowa, Paula Schramm",N/A,German,Germany,N/A,N/A,N/A,tt4265662,N/A
Lagenda Budak Setan 3: Kasyah,2014,N/A,118 min,"Drama, Romance",Sharad Sharan,"Ahadiat Akashah, Jujur Prananto","Farid Kamil, Maya Karin, Bront Palarae","After Kasyah loses his brother and beloved daughter, he is determined to start anew with Kate. The newly weds adopt Kasyah's niece and the couple get married. However, ill fate and misunderstandings soon befall when Kate's ex-husband, Sofean and Kasyah's ex-colleague, Zahirah re-enter their lives with ill intentions.",Malay,Malaysia,1 nomination,3.8,57,tt4265664,N/A
Nächstenliebe,2015,N/A,49 min,Drama,Jan Bauer,"Ralf Pingel, Henning Köhn","Roy Peter Link, Katharina Nesytowa, Paula Schramm",N/A,German,Germany,N/A,N/A,N/A,tt4265668,N/A
Lebensglück,2015,N/A,49 min,Drama,Jurij Neumann,"Mandy Cankaya, Katja Zimmermann","Roy Peter Link, Katharina Nesytowa, Paula Schramm",Happiness.,German,Germany,N/A,N/A,7,tt4265670,N/A
Episode #9.44,2001,TV-14,60 min,Sport,N/A,Brian Gewirtz,"Kurt Angle, Steve Austin, Matt Bloom, Mark Calaway",N/A,N/A,N/A,N/A,N/A,N/A,tt4265690,N/A
Yaar Annmulle 2,2017,N/A,118 min,"Comedy, Drama",Sunny Mahal,Mani Manjinder Singh,"Raja Baath, Sukhbir Singh Batth, Gurpreet Bhangu",sequel to the Punjabi blockbuster film Yaar Annmulle which was released in 2011.,Punjabi,India,N/A,5.2,62,tt4265694,N/A
A Man Alone,2008,N/A,6 min,"Short, Action",Graeme McCormick,Graeme McCormick,"Stephen Samson, George Eldridge, Hilary McCormick, Hugh Anderson",A lone soldier fights for survival lost in enemy territory.,English,UK,N/A,8.9,24,tt4265706,N/A
Rebellion 2001 Falout,2001,TV-PG,93 min,"Action, Sport",N/A,Brian Gewirtz,"Kurt Angle, Steve Austin, Mark Calaway",Mr. McMahon's unsettling announcement marks the beginning of the end for The Alliance.,N/A,N/A,N/A,N/A,22,tt4265712,N/A
Starship Valiant: Legacy,2014,Not rated,20 min,"Short, Sci-Fi",Brady Foster,"Brady Foster, Michael L. King","Shirley Amauric, April Chamberlain, Captain Gary Foster, Jana Foster",Starship Valiant: Legacy is a fan film based upon the original Star Trek series from 1966. It's the personal story of one man dealing with death and turmoil after events led him to assuming command of the USS Valiant. Upon arriving at earth he is greeted by a not so welcoming daughter whom he tries to reconcile his relationship with while dealing with the massive loss that has engulfed his soul.,English,USA,N/A,N/A,N/A,tt4265724,N/A
Black Valentine,2015,NOT RATED,8 min,"Short, Horror, Romance",Geroni J. Saint-Hilaire,Geroni J. Saint-Hilaire,"Cristina Lucas Tissot, Martin Pfefferkorn, Jonah Ehrenreich, Linda Kutrubes",N/A,English,USA,N/A,N/A,N/A,tt4265738,N/A
Miron: Un homme revenu d'en dehors du monde,2014,N/A,75 min,"Documentary, Biography",Simon Beaulieu,Simon Beaulieu,Gaston Miron,"A veritable aesthetic fresco blending portrait, political documentary and experimental cinema, Miron: a man returned from outside of the world recounts the people of Quebec's collective journey trough the work of their greatest poet, Gaston Miron. Consisting exclusively of archive material and found footage, this cinematographic essay takes on the form of fragmented memories and stands as a contemplation on the survival of threatened cultures around the world.",French,Canada,N/A,7.5,14,tt4265748,N/A
Agh atly oghlan,1995,N/A,64 min,"Drama, War",N/A,N/A,"Sadaya Mustafayeva, Orkhan Nadirov, Ruslan Nasirov",N/A,Azerbaijani,Azerbaijan,N/A,6.2,24,tt4265750,N/A
Slepoy,2004–2007,N/A,45 min,"Crime, Thriller",N/A,N/A,"Oleg Chernov, Stanislav Kontsevich, Vladimir Korenev",N/A,Russian,Russia,N/A,N/A,22,tt4265764,N/A
Every Witch Way: Spellbound,2014,N/A,N/A,Fantasy,"Clayton Boen, María Eugenia Perera","Catharina Ledeboer, Gloria Shen","Paola Andino, Nick Merico, Paris Smith",Every witch way like you have never seen it before all your magic comes back in this movie,English,United States,N/A,7.1,105,tt4265768,N/A
Pia,2015,N/A,N/A,Drama,Erdal Rahmi Hanay,Erdal Rahmi Hanay,"Dogukan Altiparmak, Nazim Cinar, Zehra Cinar",N/A,Turkish,Turkey,3 nominations,N/A,8,tt4265776,N/A
If the Days of the Week Were People,2014,N/A,N/A,"Short, Comedy",Malorie Folino,Malorie Folino,"Chris Titone, Tina Majorino, Charles Ramage Nelson, Ally Marks",N/A,English,USA,N/A,N/A,N/A,tt4265778,N/A
Clearing the Heir,2014,TV-PG,43 min,Reality-TV,N/A,N/A,"Anthony Melchiorri, Casey Noble, Jess Owen","Anthony Melchiorri heads to Moclips, WA, to help the family-run Ocean Crest Resort. With guest rooms reminiscent of a 70s sitcom and an heir who seems completely clueless, Anthony needs to prepare the next generation.",N/A,N/A,N/A,N/A,6,tt4265800,N/A
Måneskin,2014,N/A,25 min,"Adventure, Sci-Fi",Kaspar Munk,"Poul Berg (creator), Kaspar Munk (creator), Mikkel Bak Sørensen (story), Poul Berg (story), Poul Berg (script), Mikkel Bak Sørensen (script), Lars Feilberg (orginal concept), Iben Gylling (orginal concept), Philip LaZebnik (orginal concept), Peter Hansen (orginal concept), Adam Neutzsky-Wulff (orginal concept)","Bebiane Ivalo Kreutzmann, Hannibal Harbo Rasmussen, Rolf Hansen, Patricia Schumann",N/A,N/A,N/A,N/A,N/A,N/A,tt4265814,N/A
Adrenalin: The BMW Touring Car Story,2014,N/A,123 min,"Documentary, Sport",Tim Hahne,Tim Hahne,"Johnny Cecotto, Augusto Farfus, Hubert Hahne",ADRENALIN brings the exciting and successful BMW touring car story to the big screen. 50 years of a spectacular sport played out at race circuits around the world. Charismatic drivers and evocative racing cars from five decades plot the growth of the sport and the technology. From the drifting touring cars of the 60's to the first victory of the BMW M4 in the highly sophisticated new DTM. The legends behind the wheel tell their exciting stories and bring the golden era of touring car racing alive again.,"German, English",Germany,N/A,8.6,146,tt4265816,N/A
Estampitas,1974,TV-PG,29 min,"Comedy, Family","Roberto Gómez Bolaños, Enrique Segoviano",Roberto Gómez Bolaños,"Roberto Gómez Bolaños, Carlos Villagrán, Ramón Valdés","Sr. Barriga hires Don Ramón to repair the damaged walls in the adjacent patio with plaster. However, when Chavo, Quico and Ñoño play with the plaster, they make a huge mess.",Spanish,Mexico,N/A,N/A,15,tt4265826,N/A
Episode #9.48,2001,TV-14,60 min,Sport,N/A,Brian Gewirtz,"Kurt Angle, Steve Austin, Matt Bloom, Chris Brannan",N/A,N/A,N/A,N/A,N/A,N/A,tt4265834,N/A
Lightning's End,2014,N/A,23 min,"Animation, Drama, Fantasy",N/A,N/A,"Mika Doi, Yûto Nakano","Ginko investigates that the same tree struck by lightning many times. He meets a boy who attracts thunderbolt under the influence of ""mushi"".",N/A,N/A,N/A,N/A,68,tt4265840,N/A
Hector's Arrival/L'arrivée de Sam/Sams Ankunft/La llegada de Sam,2002,N/A,N/A,Comedy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tt4265862,N/A
Dora or The Sexual Neuroses of Our Parents,2015,N/A,88 min,"Drama, Romance",Stina Werenfels,"Lukas Bärfuss, Boris Treyer, Stina Werenfels","Victoria Schulz, Jenny Schily, Lars Eidinger","After her mother decides that eighteen-year-old mentally disabled Dora no longer has to take sedating drugs, the young woman begins to blossom. But when pleasure-loving Dora discovers her sexuality her strive for independence becomes increasingly risky. Her mother struggles to protect her: the family is threatened to fall apart.",German,"Switzerland, Germany",6 nominations,6.3,572,tt4265878,N/A
Twilight Over Burma,2015,N/A,99 min,"Biography, Drama, Romance",Sabine Derflinger,"Rupert Henning, Inge Sargent","Zoe Addams, Sahajak Boonthanakit, Tanapol Chuksrida",The U.S. scholarships Austrian student Inge and young mining student from Burma Sao Kya Seng fall in love. But it's only at the lavish wedding ceremony that Inge discovers her husband is the ruling prince of the Shan state of Burm...,"English, German",Austria,N/A,6.6,155,tt4265880,N/A
Rodinné prípady,2012–2014,N/A,50 min,Drama,N/A,N/A,"Barbora Palcíková, Juliana Olhová, Michaela Drotárová",N/A,Slovak,Slovakia,N/A,5.0,17,tt4265884,N/A
[Un]Righteous Men,2017,N/A,76 min,"Mystery, Thriller",Marcus Nobreus,"Marcus Nobreus, Mariachiara Salvi","Robert Shergill, Ola Thuvesson, Jonny Blomkvist","When Harold, the convinced Atheist, gets a surprise visit from Christian the Bible thumper, his life immediately gets complicated and dramatic. But can Christian guide Harold to finish his remodeling project and thereby help him i...",Swedish,Sweden,N/A,7.8,13,tt4265886,N/A
Nimfele,2012,N/A,N/A,Comedy,Dragos Buliga,N/A,"Maria Bata, Georgiana Ionita",N/A,N/A,N/A,N/A,N/A,6,tt4265940,N/A
Sinnasnekker'n,2010–,N/A,N/A,Reality-TV,N/A,N/A,"Otto Robsahm, Carina Gillebo, Ole Kristian Ruud","A Norwegian television show featuring professional carpenter Otto Robsahm and his team helping families in Norway stuck in the big fat ugly renovation trap find the energy and will to both keep on renovating and also mend their own relationships suffering from ""renovation trap syndrome"".",Norwegian,Norway,N/A,N/A,23,tt4265944,N/A
Granny Smith,2014,N/A,7 min,"Short, Comedy",Julian Lucas,"Julian Lucas, Jack White","Jack White, Sam Watkins, Steve Vizard",The Grandmother of all excuses,English,Australia,1 win & 1 nomination,6.1,29,tt4265954,N/A
Pitkä vaihto,2014,N/A,73 min,"Documentary, Sport",Otto Heikola,Otto Heikola,"Ossipekka Lehtonen, Tommi Elomo, Marko Mäkinen",A small town ice hockey team fights through their first season in an upper division. The players' dreams might have changed from childhood but their love for the sport does not fade.,Finnish,Finland,N/A,7.0,55,tt4265958,N/A
There's Something in the Pilliga,2014,TV-MA,82 min,"Comedy, Fantasy, Horror",Dane Millerd,Dane Millerd,"Brendan Byrne, Leoni Leaver, Rebecca Callander","The Pilliga Yowie, - or 'Jingra' - has haunted the Australian outback for centuries, stalking a remote part of New South Wales, where men seldom dare tread, content to keep to itself... until now. Ocker truck driver Jay and his cameraman buddy Dylan journey into the Pilliga National Park with some drunken sheilas they met in a pub. Things take a sinister turn when a local legend comes out to play - complete with big teeth, sharp claws and a craving for human flesh!",English,Australia,N/A,3.5,327,tt4265962,N/A
