title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
The Robot,2011,TV-Y7,12 min,"Animation, Short, Adventure",Mic Graves,"Ben Bocquelet, Mic Graves, James Lamont","Logan Grove, Kwesi Boakye, Kyla Rae Kowalewski",Gumball discovers that Bobert is planning to take over his identity and replace him.,N/A,N/A,N/A,N/A,706,tt2013086,N/A
The Third,2011,TV-G,11 min,"Animation, Short, Adventure",Mic Graves,"Ben Bocquelet, Jon Foster, James Lamont","Logan Grove, Kwesi Boakye, Kyla Rae Kowalewski",Gumball and Darwin hope that adding a third friend to their activities will break up the monotony.,N/A,N/A,N/A,7.1,1575,tt2013087,N/A
Kevin Mitnick,2011,TV-14,30 min,"Comedy, News, Talk-Show",N/A,"Opus Moreschi, Scott Sherman, Max Werner","Stephen Colbert, Amanda Krenz, Rachel Pierce, John Walters",N/A,English,USA,N/A,7.5,6,tt2013095,N/A
Anne Hathaway,2011,TV-14,30 min,"Comedy, News, Talk-Show",Chuck O'Neil,"Rory Albanese, Kevin Bleyer, Rich Blomquist, Steve Bodow, Tim Carvell (head writer), Wyatt Cenac, Hallie Haglund, J.R. Havlan, Elliott Kalan, Dan McCoy, Jo Miller, John Oliver, Zhubin Parang, Daniel Radosh, Jason Ross, Jon Stewart","Jon Stewart, Anne Hathaway",N/A,N/A,N/A,N/A,7.1,8,tt2013096,N/A
Last Words/Nowhere to Hide,2011,TV-14,44 min,"Crime, Mystery, Reality-TV",N/A,N/A,"Chris Anderson, Linnell Burton, Chris Franklin","In Birmingham, a 49-year-old man is beaten and shot in the middle of a housing complex in broad daylight. In a community where no one wants to be seen as ""snitching,"" finding someone to come forward with information will be Det. C...",N/A,N/A,N/A,N/A,24,tt2013099,N/A
Episode #2.6,2011,TV-MA,24 min,Talk-Show,Michael Franks,N/A,"Paul Provenza, Tommy Chong, Eddie Ifft","The panel circles the wagons around marijuana, riffing on the drugs Joe had to do to get through episodes of Fear Factor (2001), then celebrates Tommy's release from prison after his drug-dogless ""bong bust,"" the comic ineptitude ...",N/A,N/A,N/A,N/A,20,tt2013100,N/A
Ghosts,2011,N/A,N/A,Drama,Peter O'Fallon,"Michael Nankin, Jeffrey Bell","Ally Walker, Tisha Campbell-Martin, Miguel Ferrer, Chris Payne Gilbert",N/A,N/A,N/A,N/A,7.3,7,tt2013111,N/A
Episode #5.7,2011,N/A,N/A,Comedy,"Zach Cregger, Trevor Moore","Zach Cregger, Zach Cregger","Sam Brown, Zach Cregger, Trevor Moore, Renzo Rios",N/A,N/A,N/A,N/A,N/A,N/A,tt2013117,N/A
Harvest,2012,TV-14,45 min,"Action, Crime","Andy Mikita, Brad Turner","Luc Besson, Robert Mark Kamen, Carl Binder","Chris Vance, Andrea Osvárt, François Berléand",Frank faces a dilemma when he finds out his package is a heart meant for transplantation stolen by his crime lord client to save his own son and when Inspector Tarconi informs him that another dying boy is waiting for it at the ho...,English,"Canada, France, United Kingdom",N/A,N/A,214,tt2013139,N/A
Little Ship of Horrors,2011,TV-14,22 min,"Animation, Comedy, Fantasy",Rodrigo Amador,Bill Krebs,"Natasha Leggero, Kurt Metzger, Matt Oberg","Twayne throws a company party aboard a cruise ship, where Randall is introduced to a strange plant species. Randall gets sick from its dangerous pollen, and finds that Mark holds the key to his survival.",N/A,N/A,N/A,7.2,54,tt2013141,N/A
Wilde Wellen - Nichts bleibt verborgen,2011–,N/A,360 min,Drama,N/A,N/A,"Henriette Richter-Röhl, Johannes Zirner, Katja Weitzenböck",N/A,German,Germany,N/A,4.0,18,tt2013163,N/A
Morchekhar,2020,N/A,90 min,Comedy,Shahed Ahmadloo,"Shahed Ahmadloo, Mahyar Shahrokhi","Mehdi Koushki, Nasrin Moghanloo, Reza Shafi' Jam",Ant Eater is the story of a boy named Berdia who is famous for posting a video on virtual pages.,Persian,Iran,N/A,N/A,19,tt20131962,N/A
Au caprice des dames,1982,N/A,55 min,Adult,Didier Philippe-Gérard,N/A,"Cathy Ménard, Jacky Arnal, Hélène Shirley, Jean-Pierre Armand",N/A,French,France,N/A,5.9,10,tt2013197,N/A
Bastarden,2009,N/A,16 min,"Short, Drama",Karoline Lyngbye,Julie Budtz Sørensen,"Lone Dam Andersen, Claes Bang, Lotte Bergstrøm",N/A,Danish,Denmark,N/A,N/A,N/A,tt2013204,N/A
Brian May's Brief History of 3D,2011,N/A,N/A,Documentary,Julian Kemp,Darren Bender,"Peter Anderson, James Cameron, Rob Engle","In this 45 minute documentay shot in 3D, Brian May introduces us to the history of 3D movie-making all the way from the 1850's up to Avatar and 2011.",English,United Kingdom,N/A,N/A,16,tt2013207,N/A
Cruise Inc: Big Money on the High Seas,2009,N/A,46 min,"Documentary, News",N/A,N/A,Peter Greenberg,"With unprecedented access, CNBC takes you inside the $30-billion dollar cruise industry. Watch as correspondent Peter Greenberg reveals the delicate balance between profits and losses on the high seas.",English,United States,N/A,N/A,26,tt2013215,N/A
Shin Megami Tensei: Devil Survivor 2,2011,N/A,N/A,N/A,Shinjirô Takata,"Yo Hazuki, Mitsuru Hirata, Christain LaMonte (english writer), Makoto Miyauchi, Osamu Murata, Yuki Sakamoto","Hiroshi Kamiya, Nobuhiko Okamoto, Aya Uchida, Jun'ichi Suwabe",N/A,Japanese,Japan,N/A,7.7,23,tt2013217,N/A
"Furîtâ, ie wo kau",2011,N/A,N/A,Drama,N/A,Hiro Arikawa,"Kazunari Ninomiya, Karina",N/A,Japanese,Japan,N/A,8.1,33,tt2013224,N/A
Goeie Buren,1987,N/A,107 min,Comedy,"Dennis Ramsden, Erik Van Reijendam","Ray Cooney (play), René Van Vooren (translation)","Piet Bambergen, John Leddy, Rudi Falkenhagen, Diana Dobbelman",A bigamist taxi driver's secret threatens to be revealed after he has a small accident.,Dutch,Netherlands,N/A,7.8,5,tt2013228,N/A
