title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Decoding the Duc D'Anville,2024,TV-PG,42 min,Documentary,N/A,"Kevin Burns, David Comtois, Joe Lessard","Robert Clotworthy, Corjan Mol, Doug Crowell","In 1746, a mysterious ship's log was written suggesting that a vast treasure may have been buried on Oak Island by a French Admiral who was connected to the Knights Templar.",English,United States,N/A,N/A,11,tt34622367,N/A
A Boy Opens the Door,2025,N/A,1 min,"Short, Horror",Dragan Jovicevic,Dragan Jovicevic,Gvozden Andjic,"One night, someone is knocking at the door of a little boy's home.",N/A,Serbia,1 win & 4 nominations total,N/A,N/A,tt34622373,N/A
Deadline,2024,N/A,85 min,Drama,N/A,N/A,"Gong Seung-yeon, Yoo Seung-mok, Jung Suk-yong",The steel workers' strong will to prevent a huge typhoon Hinnamno that hit the Pohang Steel Works and the fierce struggle to overcome the crisis.,Korean,South Korea,N/A,N/A,N/A,tt34622396,N/A
The Top Ten Worst Hit Songs of 2013,2014,N/A,27 min,"Comedy, Music, Talk-Show",Todd Nathanson,Todd Nathanson,Todd Nathanson,N/A,N/A,N/A,N/A,N/A,N/A,tt3462240,N/A
Gezan-meshi,2024–,N/A,N/A,Drama,N/A,Toshiko Nishino,"Mirai Shida, Tomoka Kurotani, Rio Yamashita","Mineko (Mirai Shida) is an introverted illustrator, who isn't good with interpersonal communication. When she is alone or in her fantasy world, she tends to be talkative. Her hobby is mountain climbing. Along with mountain climbin...",Japanese,Japan,N/A,N/A,N/A,tt34622414,N/A
Goodbye Hamdi,2024,N/A,85 min,"Adventure, Comedy, Thriller","Mahmoud Zahran, Tarek Zahran",N/A,"Shereen Reda, Bayoumi Fouad, Aya Samaha","When a rookie journalist is thrown into the deep end with the job of covering the death of a high-profile figure, she finds herself in a quirky predicament. Her mission? To crash at the home of the deceased's youngest daughter, wh...",Arabic,N/A,N/A,N/A,N/A,tt34622420,N/A
+tic Elder Sister,2011–2012,N/A,2 min,"Animation, Short, Comedy",N/A,N/A,"Yumi Uchiyama, Marina Inoue, Shiori Izawa",The crazy antics of the girls belonging to a plastic model club.,Japanese,Japan,N/A,6.4,314,tt3462244,N/A
Inazuma,2024,N/A,23 min,"Animation, Action, Adventure","Yoshitaka Yashima, Aya Komaki, Gaku Yano","Akira Toriyama, Yûko Kakihara","Masako Nozawa, Yumiko Kobayashi, Kôki Uchiyama","The plane crash lands to the ground below. Fortunately for the group there was no major damage, and they just needed to lighten the ship's load, leaving behind half of the supplies. As Panzy gives the ship a once-over, she recalls...",Japanese,Japan,N/A,N/A,508,tt34622459,N/A
Hunter: the Parenting,2021–,N/A,N/A,Animation,N/A,N/A,"SuperAnchors, ThunderPsyker, Nostalgia",N/A,N/A,Sweden,N/A,N/A,N/A,tt34622499,N/A
The Sugarcube Critic,2013–,N/A,N/A,Comedy,N/A,N/A,Sean McGann,"ProfessorTomNook, a.k.a. ""The Sugarcube Critic,"" spends his weekends reviewing and criticizing episodes of the hit children's show, ""My Little Pony: Friendship is Magic.""",English,USA,N/A,N/A,N/A,tt3462252,N/A
Exclusion: Beyond the Silence,2024,N/A,88 min,Documentary,Keira Loughran,"Barri Cohen, Wei Hu, Richard Lee","Helen Lee, Keira Loughran, Jean Lumb","Two granddaughters explore the legacy of their grandmothers-resilient women who championed family reunification, rooted the Chinese Canadian community, and paved the way for multiculturalism in Canada.","English, Cantonese",Canada,N/A,N/A,13,tt34622683,N/A
Episode #2.15,1976,TV-PG,30 min,Comedy,Nessa Hyams,"Jerry Adelman, Tom Eyen, Peggy Goldman, Lynn Phillips","Louise Lasser, Greg Mullavey, Mary Kay Place, Graham Jarvis","Chester phones Fletch at the laboratory, and he convinces Mary that Chester is in possession of dangerous plutonium 239. Mary exposes Chester's threat to Nurse Gimble, but she suggests Mary's regressing into fantasy. Charlie finds an ad in a magazine, giving him hope that a doctor in New Jersey can restore what's missing from the groin. Nurse Gimble theorizes about the violent nature of men. Tom sells his first recreational vehicle then meets live wire trucker Annie Wylie.",N/A,N/A,N/A,N/A,N/A,tt3462276,N/A
Casey Means/Chris Cuomo/Mary Katharine Ham,2024,N/A,N/A,"Comedy, News, Talk-Show",N/A,N/A,N/A,"The always acerbic comic Bill Maher welcomes Dr Casey Means, Chris Cuomo and Mary Katharine Ham for a lively discussion of current events. Also included are a comedic monologue and an interview with a newsmaker.",N/A,N/A,N/A,N/A,41,tt34622792,N/A
Inside Claridge's,2012–,TV-PG,N/A,Documentary,N/A,N/A,Thomas Kochs,"This 3 part mini series is a documentary which excellently shows the machinations of running a 5 star luxury hotel in London, UK. It highlights certain valuable staff members and various guest requirements.",English,United Kingdom,1 win,8.0,71,tt3462282,N/A
Weight of the World,2024,TV-MA,61 min,"Documentary, Biography, Crime",N/A,N/A,N/A,"As GLP-1 drugs like Ozempic soar in popularity for weight loss, this film follows three people on their own GLP-1 journeys and explores how decades of diet culture and society's relentless pursuit of thinness paved the way for the...",N/A,N/A,N/A,N/A,14,tt34622833,N/A
Le nid du condor,2013,N/A,N/A,"Animation, Adventure, Comedy",Jean-Luc François,"Eric-Paul Marais, Jean Chalopin, Bernard Deyriès","Audrey Pic, Adeline Chetail, Caroline Mozzonne","Our heroes and Ambrosius enter the City using their medallions which missing parts were given to Esteban by Mendoza. Inside the Sacred Mount, Esteban calls the sun which chases the fog and illuminate the ""City of Gold"".",N/A,N/A,N/A,N/A,7,tt3462284,N/A
Sedin Dekha Hoyechilo,2024,N/A,N/A,Romance,N/A,N/A,N/A,"Amidst explosive political and personal turmoil, Rana falls prey to the strife within Jahanara's family.",N/A,N/A,N/A,N/A,8,tt34622865,N/A
Bojhena Shey Bojhena,2024,N/A,N/A,Romance,N/A,N/A,N/A,"When Jahanara ends things with Rana, an enraged and heartbroken Rana takes a drastic step.",N/A,N/A,N/A,N/A,8,tt34622866,N/A
"Batashey Gungun, Eseche Phagun",2024,N/A,N/A,Romance,N/A,N/A,N/A,"As Rana and Jahanara's love comes to light, death follows in its wake.",N/A,N/A,N/A,N/A,N/A,tt34622868,N/A
Naamey Ki Eshe Jay,2024,N/A,N/A,Romance,N/A,N/A,N/A,"Driven by an intense urge for revenge, Mostaq follows the duo setting the stage for a deadly gamble.",N/A,N/A,N/A,N/A,9,tt34622871,N/A
Being Able to Love Yourself,2024,N/A,N/A,"Comedy, Romance",N/A,N/A,"Akana Ikeda, Riko Nagase, Kôta Nomura",N/A,N/A,N/A,N/A,N/A,7,tt34622873,N/A
