title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
The Search,1980,N/A,85 min,Documentary,Amir Naderi,Amir Naderi,N/A,"It all began with ""Black Friday"" - a massacre on Sept 8, 1978, by the Shah's police. Official pronouncements put the death toll at 200, but the next day the people of Teheran witnessed how thousands of bodies were brought to Behast Zahra cemetery. Yet even this wasn't the whole extent of the tragedy. As the families continued looking for their relatives they began to realize just how many had disappeared. Over the next few months the massacres continued, with many thousands more disappearing, until February 11th, 1979, victory day for the Revolution. Naderi's film follows this search for the missing, through which the terrible truth is gradually revealed. The film is not only a documentary but also a document of a horrible crime.",Persian,Iran,1 nomination,7.3,44,tt0336671,N/A
Lucky Day!,2002,N/A,15 min,Short,Fred Ledoux,Fred Ledoux,"Pierre Bail, Viviane Collet, Virginie Gruss, Jean Leken",N/A,N/A,N/A,N/A,6.1,7,tt0336672,N/A
Juan & Ted: Wanted,2000,N/A,118 min,"Action, Comedy",Al Tantay,"Al Tantay, Rolf Mahilom, Bayani Agbayani","Janno Gibbs, Bayani Agbayani, Carla Guevarra","Fugitives Juan and Ted have tried to mend their ways after they bolted jail to escape execution from the hands of Hepe and Langku.They found work as school bus driver and conductor. They developed special bond with their bus riders who have problems of their own.One day they went out of town to ease their worries. But the parents of the children panicked and called up the school administrators.And just when they least expected, Hepe and Langku showed up to reveal their true identities.","Tagalog, Filipino",Philippines,N/A,5.6,22,tt0336675,N/A
Addicted,2002,Not Rated,110 min,"Drama, Mystery, Romance",Young-hoon Park,"Won-mi Byun, Jae-young Kwak","Lee Byung-hun, Lee Mi-yeon, Lee Eol","Two brothers, Ho-jin and Dae-jin, were the only family they had. The older brother Ho-jin married Eun-soo, extending their family to three, and they all lived happy, tranquil days together. But one day, in spite of Ho-jin's objection, Dae-jin takes part in a car race finals. At the exact same time and in different places, both brothers get into a tragic accident and they both lose consciousness. One year later, a miracle unfolds when Dae-jin wakes up from his coma. But when he does, he claims that he's Ho-jin. After taking care of Dae-jin at the hospital, Eun-soo and Dae-jin go home and their life together begins. But Eun-soo is utterly confused as Dae-jin's way of talking, tastes and even habits are exactly like her husband's. Eun-soo has trouble accepting the fact that her husband's spirit has taken over Dae-jin's body, while Dae-jin tries to convince her that he's really her husband, Ho-jin. At first they live distantly from each other, but as time passes, they get closer. Eun-soo keeps noticing things about her husband from Dae-jin, but she persists on keeping a fine line between them as in-laws. Then Dae-jin weeps while recalling a memory that only Eun-soo and Ho-jin would know. Finally, Eun-soo breaks down the barrier she built, and accepts Dae-jin as her real husband. Feeling that it could've been a love lost forever, they begin a more passionate love, but the people around them look distastefully at their relationship.",Korean,South Korea,1 win & 3 nominations,6.8,"1,533",tt0336678,N/A
Kadarwati,1983,N/A,112 min,Drama,Sophan Sophiaan,Satmowi Atmowiloto,"Joice Erna, Frans Tumbuan, Sofia W.D.",N/A,Indonesian,Indonesia,N/A,N/A,9,tt0336680,N/A
Kadenang bulaklak,1994,N/A,128 min,Drama,Joel Lamangan,Lualhati Bautista,"Gloria Romero, Charito Solis, Nida Blanca","As little girls, sisters Baby, Violy, and Daisy were given up for adoption after their parents were killed in an accident; their eldest sister Jasmin was taken in by an aunt.. Jasmin vowed that one day she would find all her sisters and reunite her family.","Filipino, Tagalog",Philippines,1 win & 1 nomination,8.9,46,tt0336681,N/A
"Bosnia, the Open Wound",1994,N/A,N/A,N/A,Yücel Çakmakli,N/A,N/A,N/A,Turkish,Turkey,N/A,7.3,7,tt0336683,N/A
Kandidaterne,1998,N/A,N/A,"Documentary, Biography","Michael Kristiansen, Jacob Kvist",N/A,"Poul Nyrup Rasmussen, Uffe Ellemann-Jensen",N/A,Danish,Denmark,N/A,6.5,13,tt0336684,N/A
Kaze no Matasaburô,1940,N/A,96 min,"Action, Adventure, Fantasy",Kôji Shima,Kenji Miyazawa,"Ryûji Kita, Akihiko Katayama, Akira Ôizumi",N/A,Japanese,Japan,N/A,5.9,38,tt0336686,N/A
La kedada,2002,N/A,15 min,Short,"Arturo Franco, Kiko Martínez","Rafael Calatayud Cano, Rafael Catalayud Cano, Rafael Kalatayud","Patricia Conde, Agustín Jiménez, Flipy, Alberto Fernández",N/A,Spanish,Spain,N/A,N/A,N/A,tt0336687,N/A
Kejarlah Daku Kau Kutangkap,1989,N/A,95 min,"Comedy, Drama",Chaerul Umam,N/A,"Lydia Kandou, Deddy Mizwar, Ully Artha",N/A,Indonesian,Indonesia,N/A,7.8,68,tt0336688,N/A
Kerikil-Kerikil Tajam,1987,N/A,120 min,Drama,Sjuman Djaya,N/A,"Meriam Bellina, Christine Hakim, Pong Harjatmo","Kerikil Kerikil Tajam (""Sharp Gravel"") traces the dangers that beset village women journeying to Jakarta to find employment not available to them in their villages.",Indonesian,Indonesia,N/A,7.4,132,tt0336691,N/A
The House Is Black,1963,N/A,20 min,"Documentary, Short",Forugh Farrokhzad,Forugh Farrokhzad,"Forugh Farrokhzad, Ebrahim Golestan, Hossein Mansouri","In her first and only film, the influential Iranian film director and controversial modernist poet, Forugh Farrokhzad, depicts a series of events during the everyday lives of the inhabitants of the Bababaghi Hospice leper colony. Without shying away from documenting the various stages of leprosy, Forugh Farrokhzad captures the raw essence of what living with leprosy is like, using powerful images, rapid-fire editing, and an unforgettable, tragically poetic narration.",Persian,Iran,N/A,7.8,"5,777",tt0336693,N/A
The Kid Stakes,1927,N/A,69 min,Drama,Tal Ordell,Tal Ordell,"Robin 'Pop' Ordell, Charles Roberts, Ray Salmon","Young ""Fatty"" Finn and his friends enter their pet goat in a race, but his rival ""Bruiser"" Murphy lets the goat loose, right before the race.",None,Australia,N/A,6.6,73,tt0336695,N/A
Killing Sheep,1901,N/A,N/A,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,USA,N/A,N/A,N/A,tt0336698,N/A
Killing Us Softly 3,1999,N/A,34 min,"Documentary, Short",Sut Jhally,Jean Kilbourne,Jean Kilbourne,"Jean Kilbourne's pioneering work helped develop and popularize the study of gender representation in advertising. Her award-winning Killing us Softly films have influenced millions of college and high school students across two generations and on an international scale. In this important new film, Kilbourne reviews if and how the image of women in advertising has changed over the last 20 years. With wit and warmth, Kilbourne uses over 160 ads and TV commercials to critique advertising's image of women. By fostering creative and productive dialogue, she invites viewers to look at familiar images in a new way, that moves and empowers them to take action.",English,United States,N/A,7.9,260,tt0336699,N/A
Killing the Spot,2001,N/A,14 min,Short,Albert Pérez,"Sergi Martí, Pau Obiol, Albert Pérez","Juan Márquez, Carlos Lasarte, Quim Bofill, Josefa Rosaler",N/A,N/A,Spain,1 win.,4.7,23,tt0336700,N/A
Murder Scene from 'King of the Detectives',1903,N/A,N/A,"Short, Crime, Drama",N/A,N/A,N/A,N/A,"None, English",United States,N/A,N/A,N/A,tt0336701,N/A
Knockin' on Dylan's Door - Begegnungen mit Bob Dylan,2001,N/A,80 min,Documentary,Gerold Hofmann,N/A,"Thomas Brasch, Doris Dörrie, Jack Lang, Manfred Mann",N/A,German,Germany,N/A,6.4,5,tt0336705,N/A
Knockout Buster,1929,N/A,N/A,"Comedy, Short",Francis Corby,Richard F. Outcault,"Arthur Trimble, Lois Hardwick, Kenneth Johnson",N/A,"None, English",United States,N/A,N/A,16,tt0336706,N/A
Krach im Hochhaus,1976,N/A,84 min,Comedy,Jens-Peter Proll,"Goetz Jäger, Alexander Kent","Herbert Köfer, Evamaria Bath, Helga Hahnemann",N/A,German,East Germany,N/A,N/A,N/A,tt0336709,N/A
Kri-Kri fuma l'oppio,1913,N/A,5 min,"Comedy, Short",Raymond Dandy,N/A,Raymond Dandy,N/A,None,Italy,N/A,4.6,17,tt0336711,N/A
En kärleksaffär,2002,N/A,29 min,"Drama, Short",Jörgen Bergmark,Jörgen Bergmark,"Jakob Eklund, Pernilla August, Mona Malm, Özz Nûjen",N/A,N/A,N/A,N/A,5.7,11,tt0336715,N/A
Lab en Kisses,1997,N/A,110 min,Comedy,Tony Y. Reyes,Tony Y. Reyes,"Vic Sotto, Vina Morales, Larry Silva",N/A,"Filipino, Tagalog, Visayan",Philippines,N/A,N/A,10,tt0336716,N/A
El ladrón navideño,2002,N/A,12 min,"Animation, Short",Javier Tostado,"Manuel Díaz-Flores, Javier Tostado",Guillermo Toledo,N/A,N/A,Spain,1 nomination,N/A,6,tt0336721,N/A
A Lady and Her Maid,1913,N/A,14 min,"Comedy, Short",Bert Angeles,Beta Breuil,"Norma Talmadge, Florence Radinoff, James Morrison","The photographer sends miss Ophelia a dozen photographs of her in different poses. Selecting the best one, she presents it to her favorite boarder, Billy, who does not think much of it and who gets very indignant when it is compared with the photo of his sweetheart. Miss Ophelia goes up to her room in tears and tells her faithful maid, Belinda, that her heart is broken. Belinda goes down and forcibly tells Billy what she thinks of him. Miss Ophelia resolves on suicide, because no one seems to love her. Belinda gets back in time to prevent this and, to divert her mistress, she suggests that they go together to a beauty specialist. Arriving there, both receive attention. Miss Ophelia gets a new complexion, while Belinda gets new teeth. Both invest in new gowns and dresses and the transformation is complete. At supper time, the boarders are all astounded. Miss Ophelia is really nice-looking and arouses the jealousy of all the ladies, so much attention does she receive from the gentlemen. Receiving no return to their advances to Miss Ophelia, they try to flirt with Belinda, who now appears like a trim French maid. She turns them all down very coldly, very much to their surprise. Billy's heart unaccountably changes and he seeks out Miss Ophelia to propose to her. His offer is indignantly refused and he is still more astonished, when, a few minutes later, he and all the other boarders receive notice to quit the house. A sign ""For Sale,"" is placed outside the door and Miss Ophelia and her maid, Belinda, drive off in an automobile before everyone, none of whom can account for the sudden transformation of their erstwhile boarding mistress's appearance and habits. Miss Ophelia decides to try the effect of her newly-acquired fascinations in higher spheres and hopes now to be able to make a notable conquest and enter at last the much-longed-for haven of matrimony.","None, English",United States,N/A,5.6,42,tt0336723,N/A
Lampiasan nafsu,1996,N/A,78 min,"Drama, Romance",Emil G. Hampp,Emil G. Hampp,"Ibra Azhari, Febby Lawrence, Thea Novita, Reynaldi",N/A,Indonesian,Indonesia,N/A,N/A,N/A,tt0336726,N/A
