title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Spider-Man,2018,T,N/A,"Action, Adventure, Comedy, Fantasy, Mystery, Sci-Fi",Ryan Smith,"Benjamin Arfmann, Kelsey Beachum, Christos N. Gage, Dan Slott (additional story contributions by), Steve Ditko (Spider-Man created by)","Yuri Lowenthal, Tara Platt, Travis Willingham, William Salyers","When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.",English,USA,4 wins & 40 nominations.,9.2,"14,915",tt5807780,N/A
Dear Roy...,2017,TV-MA,41 min,"Action, Drama, Western",Scott Frank,Scott Frank,"Jack O'Connell, Michelle Dockery, Scoot McNairy",Mary-Agnes tries to help free-spirited Martha to escape her past. Grigg ensures Frank stays in the know. Roy struggles with his feelings for Alice.,N/A,N/A,N/A,N/A,2047,tt5807790,N/A
"How to Channel Your Road Rage Into Cold, Calculating Road Revenge",2015,N/A,N/A,Comedy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tt5807800,N/A
Best of the Bible,2013,N/A,8 min,"Short, Music",Lorenzo Scaraggi,N/A,"Magnus Abrahamsson, Francesco Amato, Franco Angiulo, Peter Danielsson","NOWlab recorded live at the Festival Castel Dei Mondi, Palazzo Ducale, Andria, Italy, september 2010.",English,Sweden,N/A,7.2,5,tt5807804,N/A
"Autistic Reporter, Michael Falk, Enchanted by Prison's Rigid Routine",2011,N/A,N/A,Comedy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.8,5,tt5807808,N/A
Shun,2016,N/A,3 min,"Short, Horror","Alicia Eichenholz, Nathalie Rosenqvist",N/A,"Johan Berg, Alicia Eichenholz",N/A,N/A,Sweden,N/A,N/A,20,tt5807818,N/A
Deville Late Night,2016–,N/A,30 min,Comedy,N/A,N/A,"Dominic Deville, Agota Dimen, Manuel Stahlberger",N/A,Swiss German,Switzerland,N/A,6.6,17,tt5807890,N/A
Parjure,2018,N/A,N/A,Drama,Florent-Emilio Siri,"Dan Franck, Gregory Snegoff","Guillaume Arnault, Johnny Yong Bosch, Jérôme Cachon","Robert Taro is hospitalized further to his heart attack. In his awakening, he is convinced that Lucas Barres is going to plunge Marseille into a bloodbath. To be elected mayor, Lucas looks for the best political alliance.",N/A,N/A,N/A,N/A,90,tt5807910,N/A
Emprise,2018,N/A,N/A,Drama,Florent-Emilio Siri,"Dan Franck, Gregory Snegoff","Guillaume Arnault, Johnny Yong Bosch, Jérôme Cachon","The death of an important personality, puts Lucas in serious difficulties. Julia investigates on a strange person. Rachel discovers a talented musician.",N/A,N/A,N/A,N/A,75,tt5807914,N/A
Conquête,2018,N/A,41 min,Drama,Florent-Emilio Siri,Dan Franck (created by),"Jérôme Cachon, Stéphane Caillard, Gérard Depardieu, Grégory Di Meglio",The sale of the stadium is on the balance. Lucas begins to give in to the influence of Jeanne. Chahid goes living to Eric's house. Jeanne's investigation drives her to a bad situation.,N/A,N/A,N/A,6.7,39,tt5807916,N/A
Résistance,2018,N/A,N/A,Drama,Laïla Marrakchi,"Thierry Aguila, Dan Franck, Gregory Snegoff","Johnny Yong Bosch, Jérôme Cachon, Stéphane Caillard","While Robert searches for alliances to avoid the sale of the stadium, Rachel finds herself in difficulties in her helping to Tony and his father. Chahid is close to accomplishment of his mission.",N/A,N/A,N/A,N/A,66,tt5807920,N/A
Capitulation,2018,N/A,N/A,Drama,Laïla Marrakchi,"Dan Franck, Gregory Snegoff","Johnny Yong Bosch, Jérôme Cachon, Stéphane Caillard",N/A,N/A,N/A,N/A,N/A,67,tt5807926,N/A
Révélation,2018,N/A,N/A,Drama,Laïla Marrakchi,"Dan Franck, Gregory Snegoff","Johnny Yong Bosch, Jérôme Cachon, Stéphane Caillard",Sweeping changes at City Hall inflame tensions across Marseille. Eric tips Rachel off to Julia's ordeal. Jeanne makes an unsettling discovery.,N/A,N/A,N/A,N/A,63,tt5807930,N/A
Abandon,2018,N/A,41 min,Drama,Florent-Emilio Siri,Dan Franck (created by),"Jérôme Cachon, Eric Marcel","As the city again mourns one of its own, Robert vows to track down the culprits. Lucas grapples with Jeanne's news. Eric begins to unravel.",N/A,N/A,N/A,6.9,37,tt5807934,N/A
Justice,2018,TV-MA,N/A,Drama,Florent-Emilio Siri,"Thierry Aguila, Dan Franck, Gregory Snegoff","Gérard Depardieu, Benoît Magimel, Géraldine Pailhas","Julia tries a new tactic to recover her memories, Jeanne takes a drastic step to protect her career, and Robert and Lucas plot to save their city.",N/A,N/A,N/A,N/A,78,tt5807936,N/A
Sa piling ni nanay,2016–,TV-MA,N/A,"Action, Crime, Drama",N/A,N/A,"Yasmien Kurdi, Mark Herras, Katrina Halili","Ysabel is a single mom caring for her ill daughter Maymay. As Scarlet's assistant, who married Javier for money, Ysabel agrees to be their surrogate. Tragically, Maymay passes away, and a heartbroken Ysabel raises their child as h...","Filipino, Tagalog",Philippines,N/A,N/A,13,tt5807954,N/A
Episode #1.4,2016,N/A,35 min,Comedy,"Andy Hamilton, Guy Jenkin, Neil Pearson, Paul Schlesinger","Mark Burton, Lucy Guy, Andy Hamilton, Guy Jenkin, Pete Sinclair, Colin Swash","Amelia Bullmore, Anthony Calf, Jack Dee, Ayda Field","The result of the vote is announced with Brexit the winners. Preeya is hopeful for a parliamentary seat - though she is not what she seems - and everybody else regards the result as an anti-climax, except Unity's Ruby, who is too dim to understand much. As Trump's plane lands in Scotland his team acknowledge his support for Brexit but also note that not all who come to meet him are friendly. In Moscow the Russians seek to capitalize on the outcome of the vote whilst attempting to doctor an unfortunate photo of Putin with a dead elk.",English,UK,N/A,N/A,N/A,tt5807958,N/A
A Romantical Decouplement,2017,TV-14,22 min,Comedy,Lang Fisher,"Mindy Kaling, Lang Fisher","Mindy Kaling, Ed Weeks, Ike Barinholtz","Mindy's feelings for Ben are put to the test when he considers a job in Philadelphia. Meanwhile, Anna plans an office girls' night.",N/A,N/A,N/A,N/A,108,tt5807962,N/A
Extinction,2017,TV-14,43 min,"Drama, Thriller",Tony Goldwyn,"Shonda Rhimes, Johanna Lee, Chris Van Dusen","Kerry Washington, Scott Foley, Darby Stanchfield","Rowan is caught by surprise when someone from his past resurfaces, and Olivia has to make a life-changing decision about the campaign. Meanwhile, flashbacks reveal exactly what happened the night of Francisco Vargas' assassination.",English,United States,N/A,N/A,396,tt5807966,N/A
They All Bow Down,2017,TV-14,43 min,"Drama, Thriller",Millicent Shelton,"Shonda Rhimes, Johanna Lee, Zahir McGhee","Kerry Washington, Scott Foley, Darby Stanchfield","Jake and Vanessa's messy relationship poses a threat to the campaign, forcing Olivia to take action. Meanwhile, a game-changing revelation about the conspiracy surrounding Francisco Vargas's assassination is revealed.",English,United States,N/A,N/A,324,tt5807968,N/A
A Traitor Among Us,2017,TV-14,43 min,"Drama, Thriller",Tom Verica,"Shonda Rhimes, Johanna Lee, Alison Schapker","Kerry Washington, Scott Foley, Darby Stanchfield",Olivia makes a shocking decision when she finds new information about the assassination of Frankie Vargas.,English,United States,N/A,N/A,429,tt5807972,N/A
A Stomach for Blood,2017,TV-14,43 min,"Drama, Thriller",Oliver Bokelberg,"Shonda Rhimes, Johanna Lee, Severiano Canales","Kerry Washington, Scott Foley, Darby Stanchfield","The events leading up to the election night, as seen from Abby's perspective reveal a thirst for power.",English,United States,N/A,7.7,363,tt5807978,N/A
Dead in the Water,2017,TV-14,42 min,"Drama, Thriller",Nicole Rubio,"Shonda Rhimes, Michelle Lirtzman, Johanna Lee","Kerry Washington, Scott Foley, Darby Stanchfield",It's a race against the clock when Olivia and OPA's investigation into the conspiracy puts one of their own in grave danger.,English,United States,N/A,N/A,489,tt5807986,N/A
The Silent Valley,2016,N/A,240 min,"Action, Crime, Drama",N/A,N/A,"Mihai Calin, Corneliu Ulici, Ovidiu Niculescu","Filip and Horia are two teenagers who seem to be bound by no more than just their friendship. However, one night, when visiting Horia's cabin, they discover their mutual attraction to each other and have an illicit encounter. When a car stops close to the cabin, Filip and Horia find themselves in the middle of a nightmare: they witness a multiple murder. Afraid that the disclosure will bring to light their relationship, the boys decide to stay silent. But, soon, the secret becomes unbearable and Filip and Horia go through a series of frightening events.",Romanian,Romania,1 win total,6.6,773,tt5807996,N/A
The Decision,2017,TV-14,43 min,"Drama, Thriller",Sharat Raju,"Shonda Rhimes, Johanna Lee","Kerry Washington, Scott Foley, Darby Stanchfield","With the ugly truth behind Frankie's assassination revealed, a torn Olivia wonders how different her life - and the country - would be if she, Mellie, and Cyrus had never rigged Fitz's election.",English,United States,N/A,N/A,462,tt5807998,N/A
"Das Institut, Oase des Scheiterns",2017–,N/A,30 min,Comedy,N/A,N/A,"Christina Große, Swetlana Schönfeld, Rainer Reiners","At a poorly-funded German cultural institute in the fictional ""armpit"" of the Middle East, efforts by interns and staff to promote German language and culture have decidedly mixed results.",German,N/A,2 wins,7.6,78,tt5808002,N/A
