title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Death Game,2017,N/A,83 min,Thriller,Gregory Hatanaka,"Ron Becks, Azad Mayi, Salih Mayi","Ron Becks, Magda Marcella, Kristine DeBell",A hard-boiled cop must track down a female serial killer and stop a series of police assassinations.,English,United States,N/A,4.5,135,tt6567472,N/A
Tyranny,2016,N/A,N/A,N/A,N/A,Matt MacLean,"Valerie Arem, Ray Chase, Allegra Clark, D.C. Douglas","In Tyranny, the grand war between good and evil is over - and the forces of evil, led by Kyros the Overlord, have won.",English,USA,1 nomination.,7.9,42,tt6567496,N/A
Episode #1.22,2017,N/A,N/A,"Action, Crime, Drama",Uluç Bayraktar,"Toprak Karaoglu, Ertan Kurtulan, Volkan Sümbül","Çagatay Ulusoy, Aras Bulut Iynemli, Çetin Tekindor","Following Sarp's imprisonment, the presence of money from Yasar's policemen created some suspicions in Celal's mind. Sarp is waiting for a very dangerous exam. Celal mentions Mert's grand plans for the future.",N/A,N/A,N/A,N/A,133,tt6567502,N/A
Episode #1.23,2017,N/A,N/A,"Action, Crime, Drama",Uluç Bayraktar,"Toprak Karaoglu, Ertan Kurtulan, Volkan Sümbül","Çagatay Ulusoy, Aras Bulut Iynemli, Çetin Tekindor","Sarp and Yusuf are confident that one of the cops who came to the casino raid is Celal's man and whoever has to find him. Celal needs to be close to Handan, which he plans to do business with.",N/A,N/A,N/A,N/A,235,tt6567506,N/A
Les Misérables,1992,N/A,N/A,"Animation, Drama, Family",N/A,N/A,"Jean-Luc Reichmann, Gérard Hernandez, Micheline Dax","In the tight alleys of Paris, the enfante Cosette, works as a servant for a harsh strange family after her Mother had sold her for money. One night, her miserable life sees the light of hope that transforms Cosette into a princess.",French,France,N/A,8.1,53,tt6567530,N/A
Ramblin' Freak,2017,TV-14,91 min,Documentary,Parker Smith,N/A,"Cat, Parker Smith, Gregg Valentino","In the wake of a devastating personal tragedy, a struggling would-be filmmaker finds a revealing home video in an old camcorder purchased on eBay and takes off with his cat on a cross-country road trip to find its owner: ""The Man Whose Arms Exploded""",English,United States,1 nomination,7.2,46,tt6567544,N/A
Two Weeks Notice: Additional Scenes,2003,PG-13,7 min,"Short, Comedy",Marc Lawrence,Marc Lawrence,"Sandra Bullock, Heather Burns, Hugh Grant, David Haig",Lucy is a brilliant lawyer with a top company. The trouble is her boss George treats her like his PA and can't do without her. When Lucy gives in her notice and sees the chemistry between ...,English,USA,N/A,7.4,61,tt6567566,N/A
"Out with Abby, in with Chloe: Part 1",2017,TV-PG,41 min,Reality-TV,N/A,N/A,"Erin Babbs, Camille Bridges, Camryn Bridges","The mothers bring in choreographer Laurieann Gibson, which shakes things up; Chloe returns to the competition world for the first time in two years.",N/A,N/A,N/A,N/A,8,tt6567578,N/A
Nyo Vweta Nafta,2017,N/A,22 min,Short,Ico Costa,Ico Costa,"Zacarias Covela, Domingos Marengula, Édio Peleve","In Inhambane, Mozambique, the sketchy and funny portrait of a youth who dreams, despairs, cleans, flirts and climbs baobabs.",Afrikaans,"Mozambique, Portugal",1 win & 2 nominations,6.8,29,tt6567596,N/A
First Ladyland,2017,N/A,21 min,"Documentary, Short, Comedy",David Freid,N/A,N/A,"Sevnica, the small medieval town in Slovenia where Melania Trump grew up, is officially open for business. That's because, in many ways, our new First Lady is their new First Lady too. And now it seems the whole country is talking about their favorite daughter. Slovenia couldn't be further removed from her husband's vision for America, but Slovenians across the country are embracing The Donald and making preparations for a boom in tourism that, if all goes as planned, should start any moment now. If you try not to get too partisan for about 20 minutes, FIRST LADYLAND will make you smile bigly. But if we go missing, please check our coffee for cyanide.",English,United States,N/A,6.4,13,tt6567600,N/A
