title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Joubone Amoni Kore,1998,N/A,168 min,Romance,Ashok Kumar Bishaya,Sambhu Gupta,"Ankur Kumar Bishaya, Barnali Pujari, Pranjal Saikia",N/A,Assamese,India,N/A,7.4,14,tt8583520,N/A
IMDbrief: How John Travolta's Passion Project Failed to Find an Audience,2018,N/A,13 min,Talk-Show,N/A,Alex Logan,Alex Logan,"Devised as John Travolta's awards contender, 'Gotti' opened in 11th place this weekend, while Pixar broke records with 'Incredibles 2', which grossed over $182 million. Though 'Gotti' had a tiny $10-million budget, its $1.7-million opening is among the lowest in Travolta's 40-year film career which has grossed $1 billion. All things being equal, the film was only offered in 503 U.S. theaters ...",N/A,N/A,N/A,6.2,26,tt8583546,N/A
Jurassic Park 3,2018,N/A,N/A,Comedy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,tt8583566,N/A
2018 MTV Movie & TV Awards,2018,N/A,N/A,Music,Joel Gallen,"Mike Bender, Neil Campbell, Lance Crouther","Chloe Bailey, Talitha Eliana Bateman, Zazie Beetz",MTV awards winners in multiple movie and TV categories.,English,United States,N/A,4.5,65,tt8583588,N/A
The Push,2024,N/A,N/A,"Documentary, Crime, Drama",N/A,N/A,N/A,Whether or not a husband pushed his wife off a cliff in Edinburgh ?,"Danish, English",United Kingdom,Nominated for 1 BAFTA Award1 nomination total,N/A,15,tt8583604,N/A
Iron & Stone,2018,N/A,22 min,"Animation, Action, Adventure","Michael Helmuth Hansen, Peter Hausner","Tommy Andreasen, Lars Danielsen, Tommy Kalmar","Michael Adamthwaite, Kathleen Barr, Doron Bell","Cole and Young Wu attempt to free their friends, who have been taken captive by a tribe of Dragon Hunters. Meanwhile in Ninjago, Lloyd is reunited with some old friends who may prove valuable allies against Emperor Garmadon.",N/A,N/A,N/A,N/A,227,tt8583624,N/A
Ya nadie toca el trombón,2016,N/A,10 min,"Documentary, Short",Hari Sama,Hari Sama,N/A,N/A,Spanish,Mexico,N/A,6.6,7,tt8583632,N/A
Top of the Food Chain,2018,N/A,N/A,Drama,N/A,N/A,"Madison Pettis, Raymond Alexander Cham Jr., Trey Curtis, Hayley Kiyoko",N/A,N/A,N/A,N/A,N/A,N/A,tt8583668,N/A
Episode #1.10,2018,TV-14,32 min,"Comedy, Drama, Romance, Sci-Fi",Yeong-Hoon Cha,N/A,"Kang-Joon Seo, Seung-Yeon Gong, Sung-Ryung Kim, Joon-hyuk Lee","Nam Shin III's face-off with Executive Director Seo's mysterious man comes to a dangerous conclusion. With Nam Shin III's growing free will, Professor Oh is pushed further to make the ultimate choice.",N/A,N/A,N/A,8.6,17,tt8583674,N/A
The Last Show,2015,N/A,6 min,"Short, Horror",Hendryk Witscherkowsky,Simon Thummet,"Peter Barth, Franziska Benz, Holger Bergmann",N/A,German,Germany,N/A,N/A,10,tt8583680,N/A
