title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Alaska: A Year in the Wild,2017,N/A,240 min,Documentary,N/A,N/A,David Suchet,N/A,English,United Kingdom,N/A,8.5,13,tt7543466,N/A
Slutagini@MMS,2017,N/A,N/A,Horror,Suyash Vadhavkar,Ayushee Ghoshal,"Raquib Arshad, Karishma Sharma, Siddharth Gupta",Simran tries to find the truth behind Raj's strange behaviour. Will she get help from Raj's friend?,N/A,N/A,N/A,N/A,60,tt7543496,N/A
Bittere Weihnachten,2017,N/A,90 min,Crime,Alexander Sascha Thiel,"Andreas Quetsch, Frank Weller","Udo Kroschwald, Claudia Schmutzler, Dominic Boeer",N/A,N/A,N/A,N/A,N/A,7,tt7543498,N/A
Sex Lies Aur CD,2017,N/A,N/A,Horror,Suyash Vadhavkar,N/A,"Raquib Arshad, Karishma Sharma, Siddharth Gupta",The unknown woman foils Ragini's attempt to escape from the college. Who is this woman and will she kill Ragini?,N/A,N/A,N/A,N/A,49,tt7543500,N/A
Peppa's Christmas,2007,TV-Y,10 min,"Animation, Short, Family",N/A,N/A,N/A,"Peppa and her family are busy preparing for Christmas. Peppa and George post their letters to Father Christmas, then the whole family sets off to buy a Christmas tree from Miss Rabbit's ...",N/A,N/A,N/A,5.6,5,tt7543506,N/A
Sab Paranormal Hai,2017,N/A,N/A,Horror,Suyash Vadhavkar,N/A,"Raquib Arshad, Karishma Sharma, Siddharth Gupta",Professor Bharti's warning creates a panic among the students. Will Ragini and her friends escape unhurt from the haunted MMS college?,N/A,N/A,N/A,N/A,64,tt7543508,N/A
The Rodriguez and the Beyond,2019,TV-PG,116 min,"Adventure, Comedy, Family",Paco Arango,Paco Arango,"Edu Soto, Mariana Treviño, Rodrigo Simón","City of Madrid, Madrid (center to Spain). The Rodríguez is a too-much-normal family composed by the father, Rodrigo, a former banker reconverted in store worker from a franchise of repairs named Van Vatio; the mother, Cristina, a Mexican woman who works as therapist and psychologist; the older daughter, Alejandra, who is dating with arrogant and paid of himself Bosco; the younger daughter, Gabriela, an outside and outlandish girl who a strange bird doll as pet; and finally the middle son, Nico, a super-intelligent boy who tries to hide it to the family. After a visit of Rodrigo's aging mother Isabel in a senior living community, Isabel talks in secret with Nico, giving a package to open with he be 15 years old, but unable to await and implying his best friend Edu, Nico discovers an old VHS tape with a message from his dead grandfather about a box buried in the garden. Digging he finds the box and opens, finding the crank of the old refrigerator. Putting on its place, Nico unleashes the impossible when a man named Félix appears on the house and takes the family across of a dimensional portal to another world named Maktub. There, Sra. Presidenta explains the family that Rodrigo's father was really a Maktub's agent who in 1951 he was on mission to catch criminals that flee Earth, but he remained on planet Earth after he fell in love with Isabel, but forcing Maktub to be stuck in the 1951's look after he left a secret portal open to back Maktub if it was necessary. While Félix and the scientists as Pilar tries to find the portal to close, Félix and the family returns to planet Earth with a bracelets that change of color according people suspects about Rodriguez's identity (white, green and blue), under threat that if bracelets turns red, all them will be deported Maktub immediately. However, troubles increase progressively: the open portal causes that Alejandra turns in a girl with super-strength at the same time she suspects that Bosco is unfaithful her with their classmate Bea, and that a young neighbor named Jacobo feels attracted to her; Gabriela learns to be invisible, causing all kind of mess around her; Isabel floats as a balloon, and Rodrigo turns on his head and butt as a light bulb when he is angry. For more complications, Cristina's new client results to be Minister of Finances Pedro Solas, with a crisis of anxiety; Edu and Nico miss suddenly, forcing Cristina to talk with Ricardo and Natalia, the repulsive and conceited upper-class Edu's parents, to leave Edu in her home to pass the night together with Nico hoping they come back; Rodrigo's bosses appear by Van Vatio to supervise the business; and Félix is by error sent to Maktub after he's shot with a special gun, causing that a replace named J.J. cross the portal to help the family, not knowing that in true J.J. is a double-agent who works for Rugen Zelig, a dangerous criminal looking for revenge of Agente Rodríguez and his family.","Catalan, English, Spanish","Mexico, Spain",N/A,4.7,554,tt7543538,N/A
Anita Sarkeesian Doesn't Understand People: Feminist Frequency,2013,N/A,4 min,"Short, News",N/A,N/A,Carl Benjamin,"Sargon of Akkad responds to a video by Anita Sarkeesian, in which she dictates the right and wrong reasons for men to hate ""Twilight"".",English,UK,N/A,7.6,8,tt7543546,N/A
Neuanfänge,2017,N/A,N/A,"Crime, Comedy, Drama",Verena S. Freytag,"Jürgen Roland, Markus Staender, Bernhard Gleim","Marc Zwinz, Sven Fricke, Saskia Fischer","Hamburg, Kiez district; brothel owner Apollo hunts a pickpocket gang. Paul tries to befriend with one of them to find their hideout. Suddenly a young woman appears in the house of Luise and Dr. Theodor. Does he cheat his wife?",German,N/A,N/A,N/A,8,tt7543554,N/A
Esthers Geheimnis: Teil 2,2017,N/A,N/A,N/A,Theresa von Eltz,"Jan Cronauer, Florian Schumacher","Christian Berkel, Anna Blomeier, Timo Jacobs, Johanna Polley",N/A,N/A,N/A,N/A,7.8,9,tt7543646,N/A
Economic Development Incentives,2017,TV-MA,39 min,"Comedy, News, Talk-Show",N/A,"Jeff Maurer, John Oliver, Jill Twiss","John Oliver, David Kaye, Uzo Aduba","[HBO] HD. Main story: Economic development; plus, the latest on ""Stupid Watergate;"" And Now: Morning Shows Celebrating Halloween; the USPS on TV.",N/A,N/A,N/A,N/A,242,tt7543654,N/A
Nipskanalen,2017–,N/A,N/A,Comedy,N/A,N/A,"Julie R. Ølgaard, Neel Rønholt, Laura Christensen","Three famous Danish actresses try to get their latest film funded while juggling babies, friendship, and getting older in a business where youth is money.",Danish,Denmark,N/A,6.1,19,tt7543680,N/A
Treading Water,2018,TV-MA,N/A,"Action, Drama, Mystery",Ed Fraiman,"Jeffrey Lieber, Debra Fordham, Torrey Speer","Maddie Hasson, Sarah Desjardins, Enuka Okuma","Rattled by her newfound power, Henry tests her ability with the help of Thomas's daughter, Jenna Hope, and fellow outsider, Townes Linderman.",English,United States,N/A,N/A,397,tt7543682,N/A
Nani Gopaler Biye,1973,Not Rated,122 min,"Comedy, Drama",Sudhir Mukherjee,"Manoranjan Ghosh, Dipten Sanyal","Chinmoy Roy, Juin Banerjee, Ananda Mukherjee","Nani a witty, friendly and romantic college student fell in love with Manashi who was not only good looking, but also a fantastic singer. Dilip who was also his class mate created a rivalry with Nani regarding his relationship with Manashi. After they finished college life, everyone became busy with their respective career. Nani also joined a small office and worked hard to earn a good amount. Her lover Manashi lived with her uncle and aunt, but unfortunately her uncle was handicapped. Unwillingly Nani made some unethical gesture with her uncle and that hurt Manashi and her family members. Due to this miscommunication a distance between both Manashi and Nani developed. Dilip who was busy with his business introduced himself in this scenario to help Nani and tried hard to solve the problem showed a good friendly attitude to unite both. After a long and funny drama, both families came together and Manashi's family accepted Nani. Gopal and Dilip both tried hard to manage the situation and at last everything end with a happy note.",Bengali,India,N/A,N/A,6,tt7543686,N/A
Episode #2.5,2017,N/A,N/A,"Action, Crime, Drama",Jan P. Matuszynski,"Kamil Chomiuk, Krzysztof Mackowski, Wiktor Piatkowski","Leszek Lichota, Aleksandra Poplawska, Andrzej Zielinski",There are new suspects who may help solve the case. Dobosz is trying to earn Alsu's trust to find out how she managed to get to Rebrow's hideout. She places Alsu and Halid in a refugee center. Rebrow tries to reach them.,N/A,N/A,N/A,N/A,62,tt7543692,N/A
Episode #2.6,2017,N/A,N/A,"Action, Crime, Drama",Kasia Adamik,"Kamil Chomiuk, Krzysztof Mackowski, Wiktor Piatkowski","Jaroslaw Boberek, Piotr Dabrowski, Grzegorz Damiecki","Dobosz brings to light inconsistencies in evidence given by suspects. Overwhelmed by emotions, Rebrow is struggling to bring matters to an end, but his plans are suddenly scotched. Markowski is relentlessly trying to solve the case.",N/A,N/A,N/A,N/A,61,tt7543698,N/A
Placebo: Alt.Russia,2016,N/A,67 min,"Documentary, Music",Charlie Targett-Adams,N/A,"Fiona Brice, Steve Forrest, Brian Molko","As the band Placebo approached their 20th anniversary they were given a unique opportunity to play ten cities throughout Russia. In a time when Russia was at the forefront of the world's current affairs, little was actually reported outside the country about its internal culture.",English,United Kingdom,1 nomination,8.2,16,tt7543720,N/A
Svartedauden,2017,N/A,54 min,"Documentary, Drama, History","Kristian Landmark, Ole Bernt Tellefsen","Kristian Landmark, Ole Tellefsen","Eric Delanouë, Olav Johansen, Marie Kaysi Kelm",N/A,Norwegian,Norway,N/A,N/A,15,tt7543766,N/A
All the Gods in the Sky,2018,N/A,110 min,"Drama, Horror, Sci-Fi",Quarxx,Quarxx,"Jean-Luc Couchard, Melanie Gaydos, Zelie Rixhon","30-year-old factory worker Simon lives a solitary existence on a decrepit farm in the remote French countryside. Devoting his time to caring for his sister Estelle, who was left severely disabled when a childhood game went horribly wrong, Simon is plagued by guilt and depression. But he sees a way out, looking to otherworldly forces as a means of liberating both himself and his sister from the corporeal prisons in which they are confined.",French,France,3 wins & 3 nominations,6.2,876,tt7543784,N/A
La traversée,2018,N/A,139 min,Documentary,Romain Goupil,Daniel Cohn-Bendit,"Daniel Cohn-Bendit, Romain Goupil, Emmanuel Macron","Fifty years after May 68, Dany Cohn-Bendit and Romain Goupil criss-cross France, discovering some of the Republic's occasionally disturbing sides. A road movie to observe, listen and debate, but also to discover the state of the country, its crises, its hopes, its everyday heroes, its detractors and its innovators.",French,France,1 nomination,3.1,18,tt7543794,N/A
Une beauté faite au naturel: Partie 2,2017,N/A,46 min,"Crime, Drama, Mystery",Charlotte Brändström,"Angèle Herry-Leclerc, Pierre-Yves Mora","Nicolas Gob, Eléonore Bernheim, Philippe Duclos","Under the stolen portrait of Anne de Bretagne was a forgotten painting by Leonardo da Vinci. This is the theory emerging from Florence's research. More down-to-earth and less attuned to the artistic side of the investigation, Anto...",French,France,N/A,N/A,86,tt7543806,N/A
Vielä pienen hetken vierelläsi,2017,N/A,13 min,"Documentary, Short",Jenny Timonen,Jenny Timonen,"Marjaana Alakärppä-Ilomäki, Hanna Hävölä, Merja Turunen",N/A,Finnish,Finland,N/A,7.7,8,tt7543808,N/A
Slowpoke Antonio/The Haunted Droopy/Wild Mouse,1991,N/A,N/A,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Patrick A. Ventura, Jim Ryan, Fred Kron",N/A,N/A,N/A,N/A,N/A,N/A,12,tt7543834,N/A
10.20.17,2017,TV-14,N/A,"Crime, Reality-TV",John Gonzalez,N/A,"James Abraham, Dan Abrams, Danny Brown",N/A,N/A,N/A,N/A,N/A,12,tt7543840,N/A
10.21.17,2017,TV-14,N/A,"Crime, Reality-TV",John Gonzalez,N/A,"Dan Abrams, Chris Blanding, Garo Brown",N/A,N/A,N/A,N/A,N/A,12,tt7543844,N/A
Catch That Mouse/Good Knight Droopy/Birthday Surprise,1991,N/A,22 min,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Jim Ryan, Patrick A. Ventura, Sandy Fries",N/A,"Tom tries to ""Catch That Mouse"" on a game show hosted by Calaboose Cal. Then ""Good Knight Droopy"" competes in a jousting match. Tom decides to give his girlfriend a ""Birthday Surprise, "" Jerry.",N/A,N/A,N/A,N/A,14,tt7543846,N/A
Cleocatra/McWolfenstein/The Chase School,1991,N/A,N/A,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Fred Kron, Jim Ryan, Sandy Fries",N/A,Tom is a servant of Cleocatra's tasked with catching Jerry in Ancient Egypt.,N/A,N/A,N/A,N/A,13,tt7543858,N/A
Zorrito/Deep Sleep Droopy/Hard to Swallow,1991,N/A,8 min,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Jim Ryan, Sandy Fries, Patrick A. Ventura",N/A,Miss Vavoom hires Droopy and Dripple as private eyes to investigate Chubby McWolf.,N/A,N/A,N/A,N/A,14,tt7543860,N/A
The Little Thinker/Rap Rat Is Where It's At/My Pet,1991,TV-Y,N/A,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Jim Ryan, Neal Barbera, Don Jurwich",N/A,N/A,N/A,N/A,N/A,N/A,19,tt7543866,N/A
Calaboose Cal 495/Return of the Chubby Man/Chumpy Chums,1991,N/A,N/A,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Jim Ryan, Sandy Fries, Neal Barbera",N/A,N/A,N/A,N/A,N/A,N/A,13,tt7543868,N/A
Wolfe vs. Chandler,2017,N/A,N/A,N/A,N/A,N/A,"Greg Alba, Brianne Chandler, Rachel Cushing, Tom Dagnino",N/A,N/A,N/A,N/A,9.2,5,tt7543870,N/A
Jerry Hood and His Merry Meeces/The Eradicator Droopy/Tyke on a Hike,1991,TV-Y,8 min,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Fred Kron, Patrick A. Ventura, Neal Barbera",Tim Curry,Droopy and Dripple have to save the city from McWolf and The Eradicator.,N/A,N/A,N/A,N/A,21,tt7543876,N/A
Interrail,2018,N/A,91 min,Comedy,Carmen Alessandrin,"Carmen Alessandrin, Julie Manoukian","Marie Zabukovec, Carl Malapa, Manon Valentin","This is the story of a group of friends, freshly graduated, who tour Europe by Interrail. A learning of freedom and of the group, not always compatible but which will be the eternal basis of their best memories.What could be more gratifying than having their Bac? Lou, Malik, Fiona, Solal, Paul and Théo are finally free. Free to do what they want and ready to? everything to live the best time of their life.",French,France,N/A,5.4,77,tt7543888,N/A
Blade on the Feather,2017,N/A,46 min,"Comedy, Drama, Romance",Nigel Cole,"Richard Stoneman, Dominic Minghella, Craig Ferguson","Martin Clunes, Caroline Catz, Ian McNeice","Al and Morwenna participate in the annual gig race against another town. Louisa buys a new car, and Martin's blood phobia causes a disaster with a patient.",English,United Kingdom,N/A,8.2,207,tt7543894,N/A
On Happiness Road,2017,TV-14,110 min,"Animation, Adventure, Drama",Hsin Yin Sung,Hsin Yin Sung,"Lun-Mei Gwei, Te-Sheng Wei, Bor-Jeng Chen","Chi earned her American dream after persevering with her studies in Taiwan. Following her grandmothers' death, Chi returns to her family on Happiness Road, where she begins to feel nostalgic about her childhood and starts to contemplate the meaning of ""life"" and ""home"". What is happiness? Will Chi find her own happiness?","Min Nan, Mandarin, English",Taiwan,5 wins & 3 nominations,7.2,750,tt7543904,N/A
Killbird,2019,N/A,85 min,"Mystery, Thriller",Joe Zanetti,"Jessi Thind, Joe Zanetti","Tahmoh Penikett, Aaron Douglas, Elysia Rotaru","When a young woman's car breaks down in back country Oregon, she finds herself at the mercy of a paranoid conspiracy theorist, who assumes she's a government agent.",N/A,Canada,7 nominations total,5.0,"1,400",tt7543908,N/A
No Biz Like a Snow Biz/The Maltese Poodle/Cast Away Tom,1990,N/A,N/A,"Animation, Comedy, Family","Oscar Dufau, Don Lusk, Paul Sommer","Jim Ryan, Sandy Fries, Patrick A. Ventura",N/A,N/A,N/A,N/A,N/A,N/A,20,tt7543910,N/A
Father and Sons,2018,N/A,90 min,"Comedy, Drama",Félix Moati,"Félix Moati, Florence Seyvos","Vincent Lacoste, Benoît Poelvoorde, Mathieu Capella","Joseph and his two sons, Joachim and Ivan, formed a very close family. But Ivan, the youngest, out of the ordinary high school student in the midst of a mystical crisis, is angry at his two models, which he sees collapse. Because his older brother Joachim tirelessly rehash his last breakup, at the cost of jeopardizing his studies of psychiatry.",French,"France, Belgium",1 nomination total,5.7,525,tt7543914,N/A
Filters,2018,N/A,60 min,Documentary,Isaac D. Taylor,Isaac D. Taylor,"Kate Bolshakova, Celisse Graves",'Filters.' It's an obsession. But how? But why?,N/A,United States,N/A,7.6,6,tt7543916,N/A
August at Akiko's,2018,N/A,75 min,Drama,Christopher Makoto Yogi,Christopher Makoto Yogi,"Alex Zhang Hungtai, Akiko Masuda","Musician Alex sets off to an island to find his ancestral home with only childhood memories as his navigational system. As he fails to find his home, he reaches a retreat run by a Buddhist woman, Akiko, where he decides to stay for a while. Over a course of few weeks, they share a special spiritual bond out of music and therapeutic techniques.",English,United States,3 wins & 4 nominations,6.4,219,tt7543918,N/A
The Little Urfulls/Droopo: The First Bloodhound/Indy Mouse 500,1990,TV-Y,N/A,"Animation, Comedy, Family","Oscar Dufau, Don Lusk, Paul Sommer","Jim Ryan, Patrick A. Ventura, Neal Barbera",N/A,N/A,N/A,N/A,N/A,N/A,25,tt7543924,N/A
Exterminator Cometh/Foreign Legion Frenzy/Urfo Returns,1990,N/A,8 min,"Animation, Comedy, Family","Oscar Dufau, Don Lusk, Paul Sommer","Jim Ryan, Patrick A. Ventura, Neal Barbera",N/A,Droopy and Dripple engage in comical warfare with Sheik McWolf.,N/A,N/A,N/A,N/A,16,tt7543926,N/A
In Safe Hands,2018,G,110 min,Drama,Jeanne Herry,Jeanne Herry,"Sandrine Kiberlain, Gilles Lellouche, Élodie Bouchez",Theo was born an unwanted child. The social services set out to find the perfect home for his adoption.,French,"France, Belgium",5 wins & 13 nominations,7.2,"2,727",tt7543930,N/A
First Blood,2017,N/A,N/A,"Short, Comedy",Jon Conner,Jon Conner,"Stephen Chang, Brandon Johnson, Stormi Napier",N/A,English,United States,N/A,N/A,N/A,tt7543936,N/A
The Spartacus Revolt,2017,TV-PG,43 min,"Documentary, History",Jim Greayer,Tom Keeling,"Adam Basil, Leart Dokle, Marcel Dorian","Bettany Hughes relates the events of 73BC when a Thracian gladiator started a slave revolt that so panicked the Roman elite that they offered power to a single man, foreshadowing Rome's slide into dictatorship.",English,United Kingdom,N/A,N/A,60,tt7543940,N/A
Mars Love,2017,N/A,N/A,"Animation, Short","Mario Serrano Hervás, Víctor L. Pinel, Jorge San Martín Poblete","Victor L. Pinel, Jorge San Martín Poblete, Mario Serrano Hervás",Richard del Olmo,Mars Love is a modern fable that invites us to reflect on the love between different cultures and our inability to adapt to happiness.,Spanish,Spain,N/A,N/A,9,tt7543990,N/A
