title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
I Am the Night,1993,N/A,40 min,"Short, Fantasy, Mystery",Janice Findley,Janice Findley,"Yasha Cunningham, Janice Findley, Kathryn Krogstad",A reptilian Chef Detective helps a girl make since of her recurring dream.,English,United States,N/A,6.8,19,tt0136258,N/A
The Illiac Passion,1967,N/A,90 min,Drama,Gregory J. Markopoulos,"Aeschylus, Gregory J. Markopoulos","Richard Beauvais, David Beauvais, Robert Alvarez",Prometheus engages in repeated scenes of bisexuality in this independent feature from the New York underground.,English,United States,N/A,7.5,40,tt0136261,N/A
Imitator,1991,N/A,96 min,Comedy,Oleg Fialko,"Oleg Fialko, Viktor Kopylets, Vyacheslav Leykin","Igor Sklyar, Natalya Lapina, Aleksey Zharkov",N/A,Russian,Soviet Union,2 nominations total,6.0,91,tt0136263,N/A
"Ja, so ein Mädchen mit sechzehn",1959,N/A,93 min,"Comedy, Musical",Hans Grimm,Clement Ott,"Ditmar Christensen, Maly Delschaft, Friedrich Domin",N/A,German,West Germany,N/A,4.0,13,tt0136270,N/A
Kameraden,1941,N/A,102 min,"Drama, History",Hans Schweikart,"Emil Burri, Peter Francke","Willy Birgel, Peter Martin Urtel, Karin Hardt",N/A,German,Germany,N/A,8.0,27,tt0136277,N/A
Kapote klaine kai oi dynatoi,1967,N/A,97 min,"Drama, Romance",Apostolos Tegopoulos,Nestoras Matsas,"Nikos Xanthopoulos, Antzela Zileia, Giorgos Moutsios","A poor young man, working hard, manages and becomes a captain on a ship of the shipowner, in whose home his mother worked older as a shipwreck. But he resigns when he discovers that the ship is dangerous.",Greek,Greece,N/A,4.7,36,tt0136280,N/A
The Desirous Wife,1987,N/A,N/A,Adult,Giorgio Grand,N/A,"Jean-Pierre Armand, Erminio Bianchi Fasani, Christoph Clark",N/A,Italian,Italy,N/A,6.2,9,tt0136281,N/A
The Raid of the Aegean,1946,N/A,69 min,"Drama, War",M. Karagatsis,M. Karagatsis,"Labros Konstadaras, Zinet Lakaz, Eleni Hatziargyri","Having escaped death by the skin of his teeth with the help of the patriotic man of the clergy, Father Synesios, the brave officer of the Greek Army, Captain Alexis Komninos, flees to the Middle East. There, in Cairo Headquarters, Komninos has a chance encounter with beautiful Maria, unbeknownst to him, that back in Greece, his wife, Anna, and Father Synesios have been arrested by the Nazis, for leaking information about the deployment of the German fleet in Cairo. Now, it is up to Komninos, and a hand-picked team of Greek commandos, to rescue the prisoners and save the day. Will they manage to pull off a surprising victory?","Greek, German",Greece,N/A,4.9,19,tt0136282,N/A
Separation Is a Curse,1967,N/A,90 min,"Drama, Romance",Errikos Thalassinos,Errikos Thalassinos,"Martha Vourtsi, Giannis Fertis, Lavrentis Dianellos","Without much hope, desperate, love-smitten Stelios goes to the seedy nightclub where Anna, his fiancée and the love of his life, sings to have a serious conversation before leaving abroad. However, life can sometimes be cruel and ambitious Anna decides to break up with Stelios once and for all. Now, it seems that the good old days of the past are forever gone. Is all hope gone?",Greek,Greece,N/A,N/A,8,tt0136283,N/A
Kati kourasmena palikaria,1967,N/A,96 min,Comedy,Dinos Dimopoulos,"Asimakis Gialamas, Kostas Pretenteris","Labros Konstadaras, Betty Arvaniti, Dionysis Papagiannopoulos","Ready to take on the world, the ripe--but frivolous, and fun-loving--entrepreneur, Dinos Diamandidis, is, first and foremost, an incorrigible philanderer who swears he is in the prime of his life. Engaged for too long to his long-term fiancée and indispensable personal secretary, Rita, the shameless womaniser will have no problem in falling head-over-heels for the debonair twenty-year-old seductress, Korina Maltezou, who, unfortunately, has a hidden agenda. But, is Rita going to take Dinos' shenanigans lying down? Will she set aside her pride to rescue the flawed love of her life?","Greek, French",Greece,N/A,6.8,584,tt0136284,N/A
The Chaste Beloved,1940,N/A,104 min,N/A,Viktor Tourjansky,"Richard Billinger, Kurt Brunöhler, Werner Eplinius","Willy Fritsch, Maria Landrock, Paul Dahlke",A sinister man instigates blackmail against the wayward wife of a banker.,German,Germany,N/A,N/A,N/A,tt0136288,N/A
Ki lo sa?,1986,N/A,90 min,"Comedy, Drama, Romance",Robert Guédiguian,Robert Guédiguian,"Ariane Ascaride, Pierre Banderet, Jean-Pierre Darroussin","This Guédiguian movie was never theatrically released and it's sure easy to see why : the screenplay is very thin, some scenes seem impromptu ,it's almost experimental cinema;some of its scenes were used again as flashbacks in ""la villa ""; so was Dylan's ""I want you"" ,a great song ,but which sounds inappropriate in Guédiguian 's provençal background .Four friends used to play in the garden of a bourgeois house ; they swore they would meet again when they grew up and here they are again , now three men and a woman ; they try to find again their simple joys of childhood , but realize how painful it is growing up ;even in this magic garden (the cinematography is luminous) , they can't come to terms with a fulfilled adult life .Now and then ,children appear by the gates of the lost paradise and increase their nostalgia .Thanks to the excellent foursome , one can sit it through ; Darroussin is the stand- out in my book .Guédiguian would resume the same situation in ""Dieu vomit les tièdes"" , but this time , his characters (played by the same actors)would have to face the outside world ; this one is perhaps the director's non-political work ,as though he were afraid for his characters .",French,France,N/A,7.7,76,tt0136289,N/A
Kink in de kabel,1995,N/A,84 min,N/A,N/A,Ray Cooney (play),"John Lanting, Diana Dobbelman, Marja Lieuwen, Niek Pancras",N/A,Dutch,Netherlands,N/A,7.4,8,tt0136291,N/A
Ko-Ko Chops Suey,1927,N/A,7 min,"Animation, Short, Comedy",Dave Fleischer,N/A,N/A,"Ko-Ko wants to learn how chop suey is made, and Ko-Ko and Fitz have their fun with a caricatured Chinese character.",None,United States,N/A,N/A,N/A,tt0136294,N/A
