title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Guin sâga,2009–,TV-PG,24 min,"Animation, Adventure, Fantasy",N/A,N/A,"Yûya Uchida, David Wald, Kenji Hamada","In mystical times, Kingdom of Mongaul conquers the kingdom of Parro. Only princess Rinda and prince Remus escape destruction of the palace. In jungle, they meet and befriend an amnesiac warrior with body of a man and head of a leopard.","Japanese, English",Japan,N/A,6.5,225,tt1409058,N/A
Special WrestleMania Edition of SmackDown,2021,N/A,86 min,"Action, Sport",N/A,Zach Hyatt,"Matthew Adams, Adeel Alam, Danilo Anfibio","The final stop on The Road to WrestleMania will feature a Special WrestleMania Edition of SmackDown. Dolph Ziggler and Robert Roode will look to defend their SmackDown tag team titles in a Fatal 4-Way against The Street Profits, R...",English,United States,N/A,N/A,38,tt14090580,N/A
Hanasakeru Seishônen,2009–2010,N/A,24 min,"Animation, Drama, Romance",N/A,N/A,"Daisuke Ono, Toshiyuki Morikawa, Jun Fukuyama","Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika's life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island's native, Maria. Kajika's companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year. Kajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won't be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride.",Japanese,Japan,N/A,7.3,138,tt1409059,N/A
WrestleMania 37 Fallout,2021,N/A,83 min,"Action, Sport",N/A,Zach Hyatt,"Babatunde Aiyegbusi, Danilo Anfibio, Joe Anoa'i",N/A,English,United States,N/A,N/A,31,tt14090596,N/A
Roman Reigns and Daniel Bryan set for high-stakes Universal Title clash,2021,TV-14,83 min,"Action, Sport",N/A,"Ryan Callahan, Mike Heller, Zach Hyatt","Babatunde Aiyegbusi, Danilo Anfibio, Joe Anoa'i","Roman reings faces Daniel Bryan for the universal title if Daniel loses he's banished from smackdown plus, Apollo Crews will defend his intercontinental title against Big E.",English,United States,N/A,N/A,41,tt14090598,N/A
NXT TakeOver: Stand & Deliver - Night 1,2021,N/A,124 min,"Action, Sport",N/A,N/A,"Fabian Aichner, Marcel Barthel, Stu Bennett",N/A,English,United States,N/A,N/A,23,tt14090616,N/A
Natsu no arashi!,2009–,N/A,N/A,"Animation, Comedy, Romance",N/A,N/A,"Ryôko Shiraishi, Yûko Sanpei, Chiaki Omigawa","Thirteen-year-old Yasaka is a boy staying at his grandfather's house during his summer vacation. One day he entered a store and met Arashi, a beautiful sixteen-year-old girl working there. After trying to protect her from a man who claims to have been hired by her family to take her back by force, Yasaka ran away with her and now she stays at his grandpa's place with him. It didn't take much time for Yasaka to figure out that his new friend is far from an ordinary girl, as she possesses mysterious powers. The plot thickens when he finds a sixty-year-old picture of Arashi and another girl named Kaja, and to the surprise of all Kaja suddenly appears, and just like Arashi, her appearance hasn't changed at all since then.",Japanese,Japan,N/A,7.1,72,tt1409062,N/A
Episode #15.15,2021,N/A,90 min,"Action, Sport",N/A,N/A,"Fabian Aichner, Nhooph Al-Areebi, Marcel Barthel",N/A,English,United States,N/A,N/A,18,tt14090622,N/A
Episode #15.17,2021,N/A,85 min,"Action, Sport",N/A,N/A,"Fabian Aichner, Nhooph Al-Areebi, Angela Arnold",Main Event: Kushida and MSK vs. Legado Del Fantasma,English,N/A,N/A,N/A,14,tt14090628,N/A
Rampage,2009–,N/A,N/A,"Action, Biography, Reality-TV",N/A,N/A,"Pat Lalama, Eddie Griffin, Matthew Groner",N/A,English,United States,N/A,6.8,11,tt1409063,N/A
