title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Leon,2009–,N/A,3 min,"Animation, Short, Family",N/A,N/A,"Tom Juddy, Jastmo Authur, Henriette Brewster",N/A,English,"France, Germany",N/A,7.3,65,tt1623187,N/A
"Africa, Land of Contrast",1934,N/A,N/A,Short,N/A,N/A,James A. FitzPatrick,N/A,English,USA,N/A,N/A,N/A,tt1623199,N/A
Aghet - Ein Völkermord,2010,N/A,90 min,"Documentary, History",Eric Friedler,Eric Friedler,"Hermann Beyer, Samuel Finzi, Martina Gedeck","""Aghet - A Genocide"" - On the Armenian Genocide by the Young Turk government of the Ottoman Empire during World War I. It is based on eyewitness reports by European and American personnel stationed in the Near East at the time, Ar...",German,Germany,7 wins,6.9,744,tt1623200,N/A
Beautiful Brazil,1952,N/A,8 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,"We start in Rio de Janeiro, with the statue of Cristo Redentor on Mount Corcovado, the avenue along the beach, the beauty of an historic city, and the landmark, Sugarloaf. Brazil's 47 million people celebrate racial diversity. From the Copacabana, we travel 40 miles to a resort, Quitandinha, where President Truman spoke. Then it's on to Sao Paolo, a modern, industrial city, and finally to the spectacular waterfalls of Iguazu on the border between Brazil and Argentina.",English,United States,N/A,6.7,74,tt1623202,N/A
Oz the Great and Powerful,2013,PG,130 min,"Adventure, Family, Fantasy",Sam Raimi,"Mitchell Kapner, David Lindsay-Abaire, L. Frank Baum","James Franco, Michelle Williams, Rachel Weisz","Oscar Diggs (James Franco), a small-time circus magician with dubious ethics, is hurled away from dusty Kansas to the vibrant Land of Oz. At first he thinks he's hit the jackpot-fame and fortune are his for the taking. That all changes, however, when he meets three witches, Theodora (Mila Kunis), Evanora (Rachel Weisz), and Glinda (Michelle Williams), who are not convinced he is the great wizard everyone's been expecting. Reluctantly drawn into the epic problems facing the Land of Oz and its inhabitants, Oscar must find out who is good and who is evil before it is too late. Putting his magical arts to use through illusion, ingenuity-and even a bit of wizardry-Oscar transforms himself not only into the great and powerful Wizard of Oz but into a better man as well.",English,United States,6 wins & 31 nominations total,6.3,"219,135",tt1623205,44
NBC Nightly News with Brian Williams,2004–2015,N/A,N/A,News,N/A,N/A,"Don Pardo, Brian Williams","NBC anchor Brian Williams begins NBC NIGHTLY NEWS ""Remembering JFK assassination 50 Years Later"" with announcer Don Pardo's voiced first NBC TV Bulletin.",English,United States,N/A,N/A,9,tt16232062,N/A
"Catherine Deneuve, belle et bien là",2010,N/A,86 min,"Documentary, Biography",Anne Andreu,N/A,"Catherine Deneuve, Étienne Daho, Arnaud Desplechin",N/A,French,France,N/A,6.9,40,tt1623211,N/A
Chile: 'Land of Charm',1937,Approved,10 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,"Exploring the sights, sounds and culture of the South American country.",English,United States,N/A,6.9,67,tt1623214,N/A
Colorful Guatemala,1935,N/A,9 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,N/A,English,United States,N/A,6.3,10,tt1623216,N/A
Cruising in the South Seas,1934,N/A,9 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,N/A,English,United States,N/A,5.5,6,tt1623217,N/A
Delightful Denmark,1953,Approved,8 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,"This travelogue begins with the vast agricultural wealth of the country, whose farmers can produce four times the amount required to feed the country's population. As such, the export of these agricultural products is a vital part of the country's economy. This agricultural tradition extends to its food consumption, as Denmark's vast array of open faced sandwiches is world renowned. It also extends to flower production and the Dane's love of flowers, which are sold in public markets. Denmark has a strong social support system, as witnessed by the free and mandatory public schooling, free medical services for expectant mothers and children, the provision of cooperative housing and housing for seniors, and the provision of old age pensions without premiums.",English,USA,N/A,6.6,31,tt1623219,N/A
Glacier Park and Waterton Lakes,1942,Approved,9 min,"Documentary, Short",N/A,N/A,"James A. FitzPatrick, Mary Sweeney","We begin at the train station near Montana's Glacier National Park, where Blackfeet Indians meet the arriving tourists. Glacier Park, an off-screen narrator tells us, has the remnants of 60 glaciers, from three ice ages. We visit the lodge, built in Swiss style, where college students dressed in Swiss garb do the serving at the restaurant. We watch Indian dancing and a ceremony. After views of lakes, mountains, and trails in the park, it's north to Canada's Waterton Lakes, a vacation spot for Canadian and U.S. families.",English,United States,N/A,6.7,84,tt1623230,N/A
Glimpses of Australia,1939,Approved,9 min,"Documentary, Short",N/A,N/A,"James A. FitzPatrick, Joseph Lyons","Located in the southern hemisphere, Australia is geographically about the same size as the United States. Although much of the country is sparsely populated with the country's total population about the same as that for New York City, it has many large, cosmopolitan cities. Of the total population 98% is comprised of ethnic Brits. Sydney's Bondi Beach is one of the playgrounds of Australia. A regular spectacle there is the parade of the lifeguards. A few hours outside of Sydney, one can see the Blue Hills, so named for the blue haze the shrouds the valley. Melbourne, the second largest city in the country and capital of Victoria, is called the square mile city because of it geographical size. Despite its cosmopolitan nature, it has the luxury of having one of the lowest crime rates in the world for cities its size. In both Sydney and Melbourne are many beautiful gardens, but one in Melbourne is special in that it is dedicated to the pioneer woman. Some of the other special finds are opals, among the best specimens in the world.",English,United States,N/A,5.6,55,tt1623231,N/A
Glimpses of Guatemala,1946,Approved,8 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,"We begin at the sleepy port town of Livingstone, then journey up the Rio Dulce past forests of chicle. We stop to watch men tap the trees, harvest the sap, and load the product onto small planes. At a local market, we see indigenous life much as it's been for hundreds of years: Indians mix Catholicism with traditional practice, women live a difficult but uncomplaining life. Then it's back to the coast, to the prosperous Isla de Flores, a trading island. Lovely women sing us to the twilight, concluding our glimpses of Guatamala.",English,United States,N/A,6.6,60,tt1623232,N/A
Historic Mexico City,1935,N/A,9 min,"Documentary, Short, History",Louis Lewyn,N/A,James A. FitzPatrick,"Mexico City, the capital of the Republic of Mexico, has perhaps the most colorful history of any major metropolis. It was once the center of the Aztec Empire ruled by Montezuma. The National Palace of Arts, which also houses the National Theater, is one of the more spectacular of the modern buildings. The Plaza Mayor forms the most historic section of the city. Benito Juarez, the former president of the republic, is one of the most influential figures in shaping the city. Much of what is seen in Mexico City comes from its Spanish heritage, including bullfighting, which is a polarizing topic even amongst Mexicans. They also take some history from France, as seen through the workings at and the actual structure of the Chapultepec Castle.",English,United States,N/A,6.2,60,tt1623234,N/A
Hochzeitsreise zu viert,2010,N/A,90 min,Comedy,Sigi Rothemund,"Claus Stirzenbecher, Stefani Straka","Saskia Vester, Axel Milberg, Jana Voosen",N/A,German,Germany,N/A,4.9,18,tt1623235,N/A
Il primo duello di Polidor,1913,N/A,7 min,"Short, Comedy",Polidor,N/A,Polidor,"Polidor delivers some goods to a wealthy man, who refuses to pay his bill. When Polidor persists in dunning him, he is challenged to a duel.This short comedy is typical of the better sort of Italian slapstick. Polidor was a very small man in a very large bowler hat, and his arrant clumsiness is very amusing, particularly when he tries to take fencing lessons in preparation for his affair of honor. The director knows how to handle his star very well -- Polidor also directed.Polidor was actually a Frenchman named Ferdinand Guillaume, but no one cared. His film career ended in 1922, and then began again in the late 1930s. He acted in films for Fellini and other distinguished directors until he was more than eighty and died in 1977 at the age of ninety.","None, Italian",Italy,N/A,4.1,15,tt1623246,N/A
Imperfect Angels 5,2008,N/A,N/A,Adult,Marda Caleeko,N/A,"Abbey Brooks, Dana DeArmond, Kurious, Daisy Layne",N/A,English,USA,N/A,N/A,N/A,tt1623251,N/A
Jaipur: 'the Pink City',1938,Approved,8 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,"This entry in James A. FitzPatrick's TravelTalks series looks at Jaipur, India.",English,United States,N/A,6.2,69,tt1623255,N/A
Java Journey,1939,Approved,10 min,"Documentary, Short",N/A,N/A,James A. FitzPatrick,"Another installment of James ""The Voice of the Globe"" Fitzpatrick's ""Traveltalks"", shot in beautiful Technicolor. The journey starts in Jakarta (Batavia then) and finishes with the residence of the Governor General and its gardens.",English,United States,N/A,6.6,33,tt1623256,N/A
