title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
"Seputih Hatinya, Semerah Bibirnya",1982,N/A,121 min,Drama,Slamet Rahardjo,Slamet Rahardjo,"Neneng Alina, Gisela Darusman, Eddy Guci",N/A,Indonesian,Indonesia,N/A,7.7,63,tt0138301,N/A
Assassin,1997,N/A,N/A,N/A,N/A,N/A,Brian Puterman,N/A,N/A,N/A,N/A,5.8,20,tt0138303,N/A
The Astronaut's Wife,1999,R,109 min,"Drama, Sci-Fi, Thriller",Rand Ravich,Rand Ravich,"Charlize Theron, Johnny Depp, Joe Morton","A pair of shuttle astronauts leave their spacecraft to repair a satellite. There's an explosion. NASA loses contact for two minutes, but the both are rescued and safely returned to Earth. Eventually it becomes evident that neither of the astronauts is quite the same.",English,United States,1 nomination total,5.4,"58,464",tt0138304,38
Aulas Muito Particulares,1988,N/A,10 min,Short,Carlos Gerbase,Carlos Gerbase,"Nora Prado, Luciana Tomasi",N/A,Portuguese,Brazil,N/A,4.8,7,tt0138307,N/A
Avenida da Liberdade,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,N/A,tt0138308,N/A
Azenhas no Rio Ave,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,N/A,Portugal,N/A,5.5,6,tt0138309,N/A
Babicka,1971,N/A,163 min,Drama,Antonín Moskalyk,"Bozena Nemcová, Frantisek Pavlícek","Jarmila Kurandová, Zdenek Matous, Míla Myslíková",N/A,Czech,Czechoslovakia,N/A,7.2,126,tt0138310,N/A
Babo 73,1964,N/A,57 min,Comedy,Robert Downey Sr.,Robert Downey Sr.,"Jim Antonio, Tom Gaines, James Greene",Tribulations of a newly elected President.,"English, Latin",United States,N/A,5.3,433,tt0138311,N/A
Os Banhistas de Figueira da Foz,1897,N/A,N/A,"Documentary, Short",N/A,N/A,N/A,N/A,None,Portugal,N/A,N/A,N/A,tt0138312,N/A
Barcelos,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,None,Portugal,N/A,4.8,15,tt0138313,N/A
Basant,1942,N/A,146 min,"Drama, Musical",Amiya Chakrabarty,Amiya Chakrabarty,"Mumtaz Shanti, Ulhas, Mumtaz Ali","Uma (Mumtaz Shanti) and Babul (Suresh) are poor and homeless siblings. Both of them have got singing talent but are unable to find any job. Then they meet Nirmal who is younger brother of theater owner Janki Babu. Nirmal persuades his brother to give them a chance. After seeing their talent, Janki Babu also admires Uma and gives her leading role at his theater. Then Nirmal and Uma fall in love with each other and get married. However, Nirmal has a misunderstanding that his elder brother also likes Uma and wanted to marry her. He does not approve of Uma's job in theater but himself is struggling to find a job. Uma leaves the job and they also also leave Janki babu's house. Now they have a small baby daughter, Manju. But soon they see the true face of poverty and struggle to cope with it. One day Nirmal gets a job interview from Lahore and has to go there. He is hopeful that this time, he may get a job. He leaves the house but behind him, his wife, Uma and daughter Manju have nothing to eat. After many days pass and Uma has nothing to feed her daughter, deeply helpless, she goes back to Janki babu's theatre for one performance. While she is away at theatre, Nirmal arrives back having obtained a job. But when he listens that Uma has again gone to theatre, he again thinks about his elder brother's liking for Uma and takes his daughter and leaves forever. Will Uma be able to get her husband and daughter back?",Hindi,India,N/A,7.5,28,tt0138315,N/A
Batch '81,1982,TV-14,100 min,Drama,Mike De Leon,"Clodualdo Del Mundo Jr., Raquel Villavicencio, Mike De Leon","Mark Gil, Sandy Andolong, Ward Luarca","The lives of seven neophytes as they strive to enter a Greek letter fraternity through a difficult hazing process. The entire experience is seen through the eyes of Sid Lucero, one of the neophytes.","Tagalog, Filipino",Philippines,4 wins & 9 nominations,7.3,646,tt0138317,N/A
La bellissima estate,1974,N/A,93 min,Drama,Sergio Martino,"Luciano Martino, Sergio Martino, Sauro Scavolini","Senta Berger, John Richardson, Alessandro Cocco","The story about a ten-year-old boy, son of a famous car racer who died during a race. His mother wants to preserve him from all evil and takes him on vacation to the sea.",Italian,Italy,N/A,7.1,49,tt0138321,N/A
Beretta's Island,1993,R,97 min,"Action, Adventure, Comedy",Michael Preece,"Franco Columbu, Donna Jeffries","Franco Columbu, Ken Kercheval, Elizabeth Kaitan","Franco Columbo stars as Interpol operative Franco Armando - code name Beretta - who's forced out of retirement to avenge the cold-blooded murder of a cop. The killer's trail leads to Franco's hometown on the beautiful island of Sardinia, where drugs are turning the peaceful village into a hell hole. The sinister druglord has a sadistic welcome for Franco: the kidnapping of his best friend's beautiful daughter.",English,United States,N/A,2.7,576,tt0138322,N/A
Bhabhi Ki Chudiyan,1961,N/A,168 min,"Drama, Family",Sadashiv J. Row Kavi,"Srinivas Joshi, Y.G. Joshi","Balraj Sahni, Meena Kumari, Sailesh Kumar","Geeta (Meena Kumari) is married to Shyam (Balraj Sahni) but is unable to bear children. She also looks after her younger brother-in-law, Mohan (Sailesh Kumar). Their happy family gets an addition in the form of Prabha (Seema Deo) who gets married to Mohan. Prabha is from a wealthy family and her life is ruled over by her dominating mom (Durga Khote). Misunderstandings arise to such an extent that Prabha moves out of her home, and back to her mom's. She gives birth to a baby, and not even her husband comes to visit her or to see the baby. Will things change or get worse for these people?",Hindi,India,N/A,5.3,43,tt0138323,N/A
Secrets of a Nurse,1973,Not Rated,103 min,"Crime, Drama, Thriller",Luigi Zampa,"Dino Maiuri, Massimo De Rita","Enrico Maria Salerno, Gabriele Ferzetti, Senta Berger","A portrait of a pushy surgeon :an unscrupulous cynical man. Professor Valotti appears first as a benefactor , almost a saint: The needy can be treated for free ;when they enter his office ,lots of people call him a saint on Earth .When he talks to his students in the university, he insists they must treat the poor the same way as the rich. It's just a front ;the man reigns over his peers ,he makes them work for him , he may help them or destroy them ;in his private clinic, the surgeons seem to work on a production line,under their boss' watchful eye,who occasionally intervenes.",Italian,Italy,1 nomination,6.6,204,tt0138324,N/A
Black Cat Run,1998,R,90 min,"Action, Mystery, Thriller",D.J. Caruso,"Frank Darabont, Douglas Venturelli","Patrick Muldoon, Peter Greene, Amelia Heinle","A girl is in love with a gas station attendant and sees him against her father's wishes. The father is the sheriff and shortly after a confrontation with the boy friend, he is killed by escaped convicts and the daughter is kidnapped. Everyone, including the deputy, is convinced that the boy friend committed the murder and ran away with the girl. This sets up a chase of the convicts by the boy friend and of the boy friend by the police.",English,United States,N/A,5.6,767,tt0138326,N/A
"Blázni, vodníci a podvodníci",1981,N/A,79 min,Comedy,Tomás Svoboda,"Eman Kanera, David Jan Novotný","Ludek Sobota, Dagmar Havlová, Jirí Lábus","The brother and sister Zuzana (Dagmar Havlová) and Petr (Jirí Lábus) are quite a notorious couple. They are fond of preparing people unpleasant surprises and are amusing by it. They dress a figure in a shop-window after a man standing at the pavement. The resemblance of the figure and a living man, whose name is Zezulka, is so striking, that they decide to take a figure, which they call Ronald, to a trip with Karel (Ludek Sobota), Zuzana's suitor.",Czech,Czechoslovakia,N/A,4.0,39,tt0138328,N/A
Blonde Cobra,1963,N/A,33 min,Short,Ken Jacobs,N/A,"Ken Jacobs, Jack Smith","A man fondles objects, looks at himself in the mirror, poses in different clothes, smiles and makes faces at the camera while his voice on the soundtrack speaks of his despair, makes impressionistic statements and little songs, quotes Greta Garbo and Maria Montez, tells the story of a lonely little boy and (in drag) tells the story of a woman (Madame Nescience) who dreams of herself as the mother superior of a convent of sexual perversion.",N/A,United States,N/A,2.9,"1,006",tt0138329,N/A
"Blood, Sweat and Bullets",1990,N/A,87 min,"Action, Crime, Drama",Bob Cook,Bob Cook,"Heidi Paine, Jodie Fisher, Billie Blaire",An army major is assigned to train an all-woman squad of seven convicted killers so they can pose as hookers and go to Brazil to assassinate some Cuban officers.,English,United States,N/A,4.4,29,tt0138330,N/A
Bocche cucite,1970,N/A,81 min,"Action, Crime",Pino Tosini,"Pino Tosini, Walter Alberti, Catherine Winter","Lou Castel, Carla Romanelli, Roland Carey","A Sicilian emigrant in Milan is found dead at the foot of a flyover. It turns out that the man was killed for refusing to prostitute his sister-in-law. The woman, now dishonored, gives herself to her husband's brothers.",Italian,"Italy, France",N/A,4.9,20,tt0138332,N/A
Body of a Female,1964,N/A,71 min,Thriller,"John Amero, Michael Findlay","John Amero, Michael Findlay","Lem Amero, Jack Ballard, Jean Cloud","A stripper is kidnapped by a drifter and taken to the home of a wealthy pervert. The pervert proceeds to strip her and beat her with a whip. She escapes, and he has to track her down and kill her before she can notify the police.",English,United States,N/A,5.7,16,tt0138333,N/A
Braga,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,None,Portugal,N/A,4.5,18,tt0138335,N/A
Briefgeheim,1983,N/A,N/A,"Family, Mystery",N/A,N/A,"Francis Ijsseldijk, Maurice Schmeink, Tim Beekman",N/A,Dutch,Netherlands,N/A,5.8,26,tt0138336,N/A
Butt Freak,1992,X,N/A,Adult,John Stagliano,N/A,"John Stagliano, Celeste, Danyel Cheeks, Patrick Collins",N/A,English,USA,N/A,6.4,22,tt0138338,N/A
Buttman's European Vacation,1991,X,120 min,Adult,John Stagliano,John Stagliano,"Zara Whites, Silver Forest, Rocco Siffredi, John Stagliano",N/A,English,USA,4 wins.,7.6,38,tt0138339,N/A
Still Holding On: The Legend of Cadillac Jack,1998,N/A,110 min,Drama,David Burton Morris,John Miglis,"Lisa Hartman, Clint Black, Bill Bolender",Fact-based story about a woman's fight to get her rodeo star husband freed from a false murder conviction.,English,United States,N/A,6.3,112,tt0138340,N/A
O Campo Grande,1898,N/A,N/A,Documentary,N/A,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,N/A,tt0138342,N/A
A Caninha Verde,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,N/A,Portugal,N/A,4.1,7,tt0138343,N/A
Private Gold 5: Cape Town 1,1996,X,N/A,Adult,Pierre Woodman,Pierre Woodman,"Mónika Balla, Barby, Gabriella Blicq, Blondie",N/A,English,Sweden,N/A,7.5,17,tt0138345,N/A
Private Gold 6: Cape Town 2,1996,X,N/A,Adult,Pierre Woodman,N/A,"Mónika Balla, Barby, Gabriella Blicq, Blondie",N/A,English,Sweden,N/A,7.9,16,tt0138346,N/A
Illegal Cargo,1958,N/A,92 min,Drama,Georges Lacombe,"Jean Masson, Jacques Sigurd","Françoise Arnoul, Renée Faure, Jean-Claude Michel",A female journalist beats two male rivals to a scoop by exposing a white slave racket going on right in 50s Paris.,French,France,N/A,6.1,29,tt0138347,N/A
Caricaturas por Pina Vaz,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,None,Portugal,N/A,N/A,N/A,tt0138348,N/A
O Carnaval em Lisboa,1898,N/A,N/A,Documentary,N/A,N/A,N/A,N/A,None,Portugal,N/A,N/A,N/A,tt0138349,N/A
Carnival of Wolves,1996,Not Rated,107 min,"Action, Crime",Takeshi Watanabe,"Jôtarô Kuwahara, Hiroshi Kashiwabara, Eric P. Sherman","Toshiya Nagasawa, Mike Norris, Stoney Jackson",Four men plan a robbery in a pub.,English,"United States, Japan",N/A,5.1,56,tt0138350,N/A
Cas pracuje pro vraha,1980,N/A,84 min,Crime,Jirí Hanibal,"Václav Erben, Jirí Hanibal","Frantisek Nemec, Eduard Cupák, Ludek Munzar","Vera, wife of the plumber Simandl (Josef Somr), is found murdered in the cinema next to the IDOC (Information and Documentation) agency where she worked. Police captain Marha (Frantisek Nemec), who is leading the investigation, is informed by Simandl that on the day of the murder Vera promised to bring home fifty thousand crowns to buy a car. Marha's primary suspects are the three men working at the agency: deputy editor-in-chief Brandl (Jirí Pleskot) and editors Pernata (Eduard Cupák) and Remes (Ludek Munzar, and of course also Simandl.",Czech,Czechoslovakia,N/A,4.5,24,tt0138351,N/A
Causa di divorzio,1972,N/A,99 min,Comedy,Marcello Fondato,Marcello Fondato,"Enrico Montesano, Senta Berger, Catherine Spaak",A couple is short of money and got marital problems. Sylverte knows Enrica and intent to marry her but before he needs divorce from his wife.,Italian,"Italy, West Germany",N/A,6.9,39,tt0138352,N/A
Cement,2000,R,97 min,"Crime, Drama",Adrian Pasdar,Justin Monjo,"Chris Penn, Jeffrey Wright, Anthony DeSando","What's the bond between partners, between brothers, and between spouses? In L.A., Bill Holt handcuffs Sean Rickhart inside a rebar frame for a freeway pillar at a construction site; Bill's going to bury Sean in quick-drying cement. Guided by the narration of Nin, Bill's coke-snorting partner, we go back and forth over the past 48 hours to find out what brings Bill and Sean to this deadly scene. Missing money, cops on the take, Sean's two brothers (one the leader of the mob, the other a camera-carrying simpleton), Bill's wife, dead young police officers, infidelity, and Bill and Nin's partnership make a mix as volatile and unstable as the cement is solid and immobile.",English,United States,2 wins total,5.7,669,tt0138353,N/A
Cenas da Vida Parisiense,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,N/A,Portugal,N/A,3.4,5,tt0138354,N/A
Chafed Elbows,1966,N/A,63 min,Comedy,Robert Downey Sr.,Robert Downey Sr.,"George Morgan, Elsie Downey, Lawrence Wolf",A welfare recipient marries his mother.,English,United States,N/A,6.3,509,tt0138355,N/A
Charles Mingus: Triumph of the Underdog,1998,Not Rated,78 min,"Documentary, Biography, Music",Don McGlynn,N/A,"Charles Mingus, Gunther Schuller","Nine years in the making, CHARLES MINGUS - Triumph of the Underdog is the first comprehensive documentary about jazz bassist, bandleader and composer Charles Mingus. A lucid involving portrait showing the many faces and tortured heart of a music genius, the film also features an abundance of clips of Mingus in performance.",English,United States,N/A,7.3,176,tt0138357,N/A
"A Chegada do Rebocador 'Liberal' ao Porto de Leixões e o Desembarque de Romeiros Que, por Mar, Vão ao Porto para a Romaria do Senhor de Matosinhos",1897,N/A,N/A,"Documentary, Short",Francisco Pinto Moreira,N/A,N/A,N/A,None,Portugal,N/A,4.9,17,tt0138358,N/A
Chillicothe,1999,R,92 min,"Comedy, Drama, Romance",Todd Edwards,Todd Edwards,"Todd Edwards, Peter Bedgood, Cory Edwards","A dry-witted narrative that follows a year in the life of six friends who have found themselves trapped in a rut in the time following college. It's been four years since graduation, and Wade Hinkle, the group's most cynical bachelor, is still stewing over the loss of his social life. A series of weddings splits the group apart until the bizarre death of a college mate.",English,"United States, Canada",1 nomination,6.6,242,tt0138359,N/A
Chitralekha,1964,N/A,135 min,"Comedy, Drama, History",Kidar Nath Sharma,"Kidar Nath Sharma, Rajinder Kumar Sharma","Ashok Kumar, Meena Kumari, Pradeep Kumar","When Aryaputra Samant Bijgupt ignores Yashodhara and continues to frequent Rajnartaki Chitralekha, Yashodhara's father, Mrityunjay, approaches celibate Yogi Kumargiri, who reprimands Chitralekha and asks her to free Bijgupt so that he can marry and sire a heir. She initially refuses, but subsequently decides to abandon her lavish lifestyle, and re-locates to the Ashram of Kumargiri and his male disciples, leaving a disillusioned Bijgupt no choice but to accede to the request of Samrat Chandragupt and marry Yashodhara.",Hindi,India,N/A,7.4,93,tt0138360,N/A
Christmas on Earth,1963,N/A,29 min,"Documentary, Short",Barbara Rubin,N/A,N/A,"For all intents and purposes, ""Christmas on Earth"" is a performance art film about genital worship. At twenty-nine minutes, Barbara Rubin has created the ultimate study on the celebratory and erotic nature of free love. The film is tinted in various colors (hence the title), and finds various people engaging in sexual activity. Men with women, men with men, women with women, and several orgies throughout.",English,United States,N/A,5.7,154,tt0138361,N/A
Chumlum,1964,N/A,26 min,Short,Ron Rice,N/A,"Jack Smith, Beverly Grant, Mario Montez","An experimental film consisting of images of satin, beads, painted faces, and people dancing.",None,United States,N/A,6.3,195,tt0138362,N/A
Cigarettes & Coffee,1993,N/A,24 min,"Drama, Short",Paul Thomas Anderson,Paul Thomas Anderson,"Kirk Baltz, Philip Baker Hall, Scott Coffey","The basis for the feature film ""Hard Eight"". The short begins with an older man (Hall) giving a younger man (Baltz) advice over cigarettes and coffee. The younger man tells how he won around $8,000 gambling. At a nearby table, a newlywed couple argues over losing money in Vegas playing craps. The husband lights his last cigarette before rethinking his marriage. Then a hitman (Ferrer) enters to buy cigarettes and coffee before hitting the road.",English,United States,N/A,7.1,"2,155",tt0138363,N/A
O Cineasta da Selva,1997,N/A,87 min,"Documentary, Biography",Aurélio Michiles,"Aurélio Michiles, Julio Rodrigues","Rosi Campos, José de Abreu, Gilmar de Souza","The life of Silvino Santos (1886-1970), a Portuguese man who fell in love with the Amazon River. At thirteen, Silvino crosses the Atlantic at the turn of the century in search of that fantastic Amazon imagined by Europeans. In 1913, he made his first feature-length documentary. He would live his adventure against great personalities, witnessing remarkable events, from the splendor to the fall of the rubber monopoly. Filming this Amazon from the beginning of the century, he becomes a jungle myth and one of the pioneers of cinema in Brazil.",Portuguese,Brazil,N/A,7.3,40,tt0138364,N/A
Les clandestines,1954,N/A,92 min,"Crime, Drama",Raoul André,Raymond Caillava,"Nicole Courcel, Philippe Lemaire, Maria Mauban","An adventuress and a swindler use an apartment to set up a profitable network of call girls. They circumvented and robbed an old man who, in despair, eventually killed himself.",French,France,N/A,5.7,23,tt0138368,N/A
Coimbra,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,None,Portugal,N/A,4.8,5,tt0138369,N/A
La colonna infame,1973,N/A,97 min,Drama,Nelo Risi,"Alessandro Manzoni, Vasco Pratolini, Nelo Risi","Helmut Berger, Vittorio Caprioli, Francisco Rabal",N/A,Italian,Italy,1 nomination,7.3,25,tt0138372,N/A
O Comboio de Recreio e Sintra,1897,N/A,N/A,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,N/A,tt0138373,N/A
Comboio do Douro,1897,N/A,N/A,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,N/A,tt0138374,N/A
Comic Act,1998,N/A,105 min,Comedy,Jack Hazan,"Jack Hazan, David Mingay","Magnus Hastings, Stephen Moyer, Neil Mullarkey",N/A,English,"France, United Kingdom",N/A,4.6,50,tt0138375,N/A
Common Bonds,1997,N/A,80 min,Drama,Antonio Manriquez,"Antonio Manriquez, Kate McKinney, Aaron Wallace","Kate McKinney, Charles Rome Smith, Tyler Christopher","This movie blew me away. I have to admit that my expectations were pretty low coming into this movie, but I must say that by the time the ending credits rolled those low expectations were surpassed! I especially liked the editing of this picture, which was some of the most creative and inventive editing I had seen in a long time.My girlfriend didn't like it though.",English,United States,N/A,6.9,14,tt0138376,N/A
O Corpo de Flávia,1990,N/A,15 min,Short,Carlos Gerbase,Carlos Gerbase,"Ana Moura, João Batista Diemer, Daniela Schmitz, Nelson Ebelt",N/A,Portuguese,Brazil,N/A,5.5,6,tt0138379,N/A
Corrida de Sacos no Campo Grande,1897,N/A,N/A,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,N/A,tt0138380,N/A
Cortejo Eucarístico Saindo da Sé do Porto no Aniversário da Sagração do Eminentíssimo Cardeal Américo,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,None,Portugal,N/A,5.4,8,tt0138381,N/A
O Cortejo da Procissão da Senhora da Saúde,1899,N/A,N/A,Documentary,N/A,N/A,N/A,N/A,N/A,Portugal,N/A,N/A,N/A,tt0138382,N/A
Costumes da Aldeia,1896,N/A,N/A,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,N/A,N/A,Portugal,N/A,4.8,5,tt0138383,N/A
Creep,1998,N/A,135 min,"Comedy, Horror","Mack Hail, Jim Mills",N/A,"Mack Hail, Clifford Couser, Anthony Maranville","Jeff and Zack are young ambitious men with aspirations of becoming professional artists. Just as things look like they're falling into place, they meet a washed-up former magician and con-man named CC Gates.",English,United States,N/A,6.0,31,tt0138384,N/A
The Cut Runs Deep,1999,N/A,110 min,"Crime, Drama",John H. Lee,John H. Lee,"Alexandre Manning, David Lee McInnis, Gio Park",A poor Chinese restaurant worker comes into contact with the leader of a Korean street gang and earns his respect after warning him of an impending police raid.,English,United States,N/A,6.9,81,tt0138387,N/A
D Minus,1998,N/A,82 min,N/A,Dave Swuz,"Manny Garcia, Robert Selvaggi, Dave Swuz","Anthony Amedori, John Patrick Amedori, Sam Behr","New York mob boss, Michael Barzini is blackmailed by a computer hacker in Orlando, Florida and sends two of his men to ""take care of the problem"". Vinny, the veteran hitman, is teamed up with Charlie, a trigger happy rookie. Starski and Dutch are two slackers from Orlando who are in the wrong place at the wrong time. After an all-night poker game, they end up in the same bar as Vinny and Charlie. Their paths cross, as Starski and Dutch win the lottery and are wrongfully accused of murder. They consequently lose their lottery ticket to the bad guys and try desperately to get it back and clear their names. The plot twists as the story is written before your eyes by two film students, and the fate of our heroes and the grade of the film are still up for grabs until the end.",English,N/A,N/A,5.3,7,tt0138388,N/A
Dante's View,1998,R,85 min,"Crime, Drama, Thriller",Steven A. Adelson,Liane Bonin,"Guinevere Turner, Sheryl Lee, Brett Harrelson","In a botched robbery, Samantha grabs stolen jewels and leaves her dying boyfriend at the scene. When her truck breaks down in Death Valley, she meets June, an innocent girl who dreams of escaping her dead-end life. A special relationship forms when Samantha seduces June with her free spirit and life without boundaries. Soon Samantha's dark side surfaces, threatening to destroy their lives forever.",English,United States,N/A,5.2,103,tt0138389,N/A
Dead Clean,1998,N/A,15 min,Short,Chris Barfoot,"Chris Barfoot, Robert Clother","Mark Chapman, Paul Evans, Steve Humphries",N/A,English,United Kingdom,1 nomination,4.5,12,tt0138392,N/A
The Decline of Western Civilization Part III,1998,R,86 min,"Documentary, Music",Penelope Spheeris,N/A,"Flea, Keith Morris, Eyeball",The Decline of Western Civilization III is a 1998 documentary film that follows the gutter punk lifestyle of homeless teenagers.,English,United States,2 wins & 1 nomination total,7.2,"1,872",tt0138393,77
Deus Ex-machina,1995,N/A,25 min,Short,Carlos Gerbase,Carlos Gerbase,"Luciene Adami, Werner Schünemann, Leverdógil de Freitas","The beautiful and rich Dolores hires a private detective to follow her husband and find out about the real reason behind his relationship with a young girl named Alice. False leads, obscure motivations and lies surround those four...",Portuguese,Brazil,2 wins total,6.0,51,tt0138396,N/A
